district,loans_to_weaker_sections_under_priority_sector,out_of_loans_to_weaker_sections_under_priority_sector_loans
Araria,281.49,52.19
Arwal,40.68,8.48
Aurangabad,193.04,52.51
Banka,202.36,35.20
Begusarai,367.66,88.82
Bhagalpur,339.97,86.22
Bhojpur,241.27,54.58
Buxar,116.31,26.65
Darbhanga,361.33,77.12
Gaya,529.94,106.64
Gopalganj,224.98,42.48
Jamui,108.41,25.26
Jehanabad,63.65,9.51
Kaimur (Bhabua),169.41,37.10
Katihar,391.54,37.22
Khagaria,147.13,41.04
Kishanganj,199.86,20.53
Lakhisarai,67.41,15.62
Madhepura,151.90,35.44
Madhubani,247.38,62.23
Munger,81.66,23.90
Muzaffarpur,557.02,201.44
Nalanda,162.37,34.05
Nawada,123.51,34.91
Pashchim Champaran,296.92,100.02
Patna,1440.99,495.40
Purbi Champaran,509.46,107.85
Purnia,366.61,65.72
Rohtas,215.95,52.79
Saharsa,139.93,46.23
Samastipur,392.07,105.38
Saran,371.99,78.29
Sheikhpura,52.19,10.49
Sheohar,48.77,7.68
Sitamarhi,184.60,53.91
Siwan,592.55,97.39
Supaul,115.25,9.39
Vaishali,1106.94,62.70
