district,non_priority_sector_agriculture_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,personal_loan_target,achie,achie,other_target,achie,achie,total_non_priority_target,achie,achie
Araria,0.00,26.20,26.20,14.35,26.20,26.20,57.49,26.20,26.20,373.61,26.20,26.20,991.51,26.20,26.20,1436.96,26.20,26.20
Arwal,0.00,12.21,12.21,5.37,12.21,12.21,21.56,12.21,12.21,140.04,12.21,12.21,371.67,12.21,12.21,538.64,12.21,12.21
Aurangabad,0.00,14.92,14.92,16.31,14.92,14.92,65.30,14.92,14.92,424.36,14.92,14.92,1126.15,14.92,14.92,1632.12,14.92,14.92
Banka,0.00,14.62,14.62,10.18,14.62,14.62,40.73,14.62,14.62,264.76,14.62,14.62,702.64,14.62,14.62,1018.31,14.62,14.62
Begusarai,0.00,26.69,26.69,20.43,26.69,26.69,81.67,26.69,26.69,530.95,26.69,26.69,1408.99,26.69,26.69,2042.04,26.69,26.69
Bhagalpur,0.00,25.24,25.24,28.80,25.24,25.24,115.34,25.24,25.24,749.86,25.24,25.24,1989.96,25.24,25.24,2883.96,25.24,25.24
Bhojpur,0.00,20.22,20.22,17.67,20.22,20.22,70.79,20.22,20.22,459.96,20.22,20.22,1220.63,20.22,20.22,1769.05,20.22,20.22
Buxar,0.00,13.71,13.71,13.20,13.71,13.71,52.83,13.71,13.71,343.39,13.71,13.71,911.30,13.71,13.71,1320.72,13.71,13.71
Darbhanga,0.00,23.80,23.80,21.55,23.80,23.80,86.29,23.80,23.80,560.94,23.80,23.80,1488.65,23.80,23.80,2157.43,23.80,23.80
Gaya,0.00,18.82,18.82,39.46,18.82,18.82,157.96,18.82,18.82,1026.70,18.82,18.82,2724.70,18.82,18.82,3948.82,18.82,18.82
Gopalganj,0.00,20.96,20.96,14.17,20.96,20.96,56.78,20.96,20.96,369.02,20.96,20.96,979.31,20.96,20.96,1419.28,20.96,20.96
Jamui,0.00,21.88,21.88,8.32,21.88,21.88,33.38,21.88,21.88,216.88,21.88,21.88,575.61,21.88,21.88,834.19,21.88,21.88
Jehanabad,0.00,13.94,13.94,8.83,13.94,13.94,35.40,13.94,13.94,229.99,13.94,13.94,610.35,13.94,13.94,884.57,13.94,13.94
Kaimur (Bhabua),0.00,14.18,14.18,10.38,14.18,14.18,41.46,14.18,14.18,269.52,14.18,14.18,715.24,14.18,14.18,1036.60,14.18,14.18
Katihar,0.00,22.13,22.13,18.29,22.13,22.13,73.16,22.13,22.13,475.46,22.13,22.13,1261.75,22.13,22.13,1828.66,22.13,22.13
Khagaria,0.00,18.85,18.85,8.74,18.85,18.85,34.99,18.85,18.85,227.41,18.85,18.85,603.54,18.85,18.85,874.68,18.85,18.85
Kishanganj,0.00,24.84,24.84,8.98,24.84,24.84,35.89,24.84,24.84,233.35,24.84,24.84,619.29,24.84,24.84,897.51,24.84,24.84
Lakhisarai,0.00,17.65,17.65,6.22,17.65,17.65,24.94,17.65,17.65,162.27,17.65,17.65,430.65,17.65,17.65,624.08,17.65,17.65
Madhepura,0.00,15.30,15.30,12.16,15.30,15.30,48.65,15.30,15.30,316.19,15.30,15.30,839.09,15.30,15.30,1216.09,15.30,15.30
