district,no_of_kcc_for_animal_husbandry_issued_during_quarter_includ,amount_disbursed_during_quarter,total_no_of_kcc_for_animal_husbandry_as_on_end_of_current_q,outstanding_amount_as_on_end_of_current_quarter,out_of_total_no_of_kcc_for_animal_husbandry_number_of_rupay,kcc_card_activated,no_of_kcc_for_animal_husbandry_issued_during_fin_year_inclu,amount_disbursed_fin_year
Araria,375,3.00,1814,14.46,138,127,375,3
Arwal,22,0.17,97,0.83,97,691,22,0.17
Aurangabad,70,0.72,327,2.52,341,1769,70,0.72
Banka,402,3.00,1585,13.81,451,407,402,3
Begusarai,453,8.45,3320,47.96,855,703,453,8.45
Bhagalpur,488,4.99,2537,23.07,361,339,488,4.99
Bhojpur,91,1.04,543,4.72,1728,1660,91,1.04
Buxar,86,0.34,460,3.9,2090,1100,86,0.34
Darbhanga,473,3.05,1769,15.18,513,249,473,3.05
Gaya,219,1.35,522,4.24,417,243,219,1.35
Gopalganj,202,3.29,1043,10.96,461,371,202,3.29
Jamui,473,1.35,1176,9.31,587,487,473,1.35
Jehanabad,132,0.63,424,3.62,309,224,132,0.63
Kaimur (Bhabua),73,0.96,405,4.56,1825,3012,73,0.96
Katihar,193,1.58,1260,9.96,109,65,193,1.58
Khagaria,441,6.11,2910,32.79,270,196,441,6.11
Kishanganj,234,1.03,976,6.33,209,187,234,1.03
Lakhisarai,237,3.54,1065,11.73,284,371,237,3.54
Madhepura,160,1.06,712,3.78,94,65,160,1.06
Madhubani,118,0.80,661,4.95,126,72,118,0.8
Munger,156,2.75,1010,10.65,134,110,156,2.75
Muzaffarpur,558,12.56,4000,45.57,804,607,558,12.56
Nalanda,197,2.44,1454,14.23,308,285,197,2.44
Nawada,54,0.27,362,2.36,2428,1285,54,0.27
Pashchim Champaran,537,5.68,2623,24.5,361,248,537,5.68
Patna,242,5.10,1764,24.45,510,672,242,5.1
Purbi Champaran,954,13.42,2945,32.74,174,136,954,13.42
Purnia,177,1.01,1340,8.14,131,58,177,1.01
Rohtas,75,0.56,315,2.61,706,2622,75,0.56
Saharsa,298,2.29,1102,10.03,530,432,298,2.29
Samastipur,815,11.85,4083,44.21,733,679,815,11.85
Saran,138,1.47,656,5.42,96,52,138,1.47
Sheikhpura,127,0.86,943,8.57,351,436,127,0.86
Sheohar,213,2.51,986,10.33,66,21,213,2.51
Sitamarhi,180,2.00,1172,11.6,242,176,180,2
Siwan,98,0.79,460,5.43,159,133,98,0.79
Supaul,27,0.44,454,4.65,72,51,27,0.44
Vaishali,169,4.32,1321,13.98,356,272,169,4.32
