district,farm_production_organistaion_no,amt,dairy_dev_no,amt,farm_mechanisation_no,amt,poultry_no,amt,fisheries_no,amt,rural_godown_no,amt,agri_clinic_no,amt,other_no,amt
Araria,0,203.18,4682,203.18,14613,203.18,220,203.18,104,203.18,10,203.18,1,203.18,22833,203.18
Arwal,0,27.25,1550,27.25,706,27.25,115,27.25,136,27.25,0,27.25,0,27.25,3164,27.25
Aurangabad,0,224.12,2417,224.12,10694,224.12,191,224.12,257,224.12,1,224.12,0,224.12,41204,224.12
Banka,0,95.96,13438,95.96,3067,95.96,627,95.96,285,95.96,23,95.96,0,95.96,16360,95.96
Begusarai,0,404.47,15175,404.47,10621,404.47,465,404.47,222,404.47,9,404.47,1,404.47,87725,404.47
Bhagalpur,0,207.03,15286,207.03,7864,207.03,986,207.03,1251,207.03,0,207.03,1,207.03,29856,207.03
Bhojpur,0,244.4,5135,244.4,3280,244.4,130,244.4,315,244.4,4,244.4,2,244.4,65032,244.4
Buxar,0,189.28,3162,189.28,5659,189.28,37,189.28,65,189.28,3,189.28,0,189.28,24549,189.28
Darbhanga,0,605.29,10455,605.29,14728,605.29,273,605.29,388,605.29,4,605.29,1,605.29,176732,605.29
Gaya,0,377.67,7192,377.67,15380,377.67,307,377.67,541,377.67,3,377.67,2,377.67,51222,377.67
Gopalganj,0,331.78,6530,331.78,5858,331.78,372,331.78,201,331.78,0,331.78,1,331.78,95884,331.78
Jamui,0,151.5,1551,151.5,1230,151.5,95,151.5,39,151.5,0,151.5,0,151.5,18799,151.5
Jehanabad,0,56.79,1310,56.79,3078,56.79,176,56.79,27,56.79,0,56.79,0,56.79,3290,56.79
Kaimur (Bhabua),1,118.14,3039,118.14,5836,118.14,29,118.14,35,118.14,1,118.14,1,118.14,19229,118.14
Katihar,1,478,6356,478,8971,478,341,478,1957,478,22,478,7,478,126420,478
Khagaria,0,151.86,9105,151.86,3051,151.86,81,151.86,383,151.86,5,151.86,0,151.86,22521,151.86
Kishanganj,0,69.9,4792,69.9,13230,69.9,397,69.9,53,69.9,0,69.9,0,69.9,3760,69.9
Lakhisarai,0,45.47,2963,45.47,1207,45.47,33,45.47,46,45.47,14,45.47,10,45.47,7423,45.47
Madhepura,0,196.89,12194,196.89,5621,196.89,105,196.89,222,196.89,20,196.89,2,196.89,55991,196.89
Madhubani,1,239.39,11672,239.39,16913,239.39,180,239.39,782,239.39,1,239.39,6,239.39,63284,239.39
Munger,0,74.73,5096,74.73,1827,74.73,142,74.73,462,74.73,10,74.73,13,74.73,12434,74.73
Muzaffarpur,0,712.02,33508,712.02,19554,712.02,1309,712.02,673,712.02,5,712.02,4,712.02,86915,712.02
Nalanda,0,149.56,13225,149.56,18689,149.56,293,149.56,257,149.56,3,149.56,2,149.56,23477,149.56
Nawada,0,84.17,1404,84.17,8270,84.17,62,84.17,29,84.17,0,84.17,0,84.17,14595,84.17
Pashchim Champaran,0,312.97,6982,312.97,14859,312.97,306,312.97,618,312.97,1,312.97,0,312.97,51560,312.97
Patna,2,1537.12,18374,1537.12,15907,1537.12,577,1537.12,743,1537.12,15,1537.12,11,1537.12,189103,1537.12
Purbi Champaran,0,441.41,12266,441.41,19159,441.41,575,441.41,503,441.41,0,441.41,2,441.41,74660,441.41
Purnia,0,420.08,16942,420.08,9651,420.08,228,420.08,777,420.08,109,420.08,0,420.08,75479,420.08
Rohtas,0,187.88,4637,187.88,8462,187.88,191,187.88,514,187.88,8,187.88,0,187.88,26836,187.88
Saharsa,0,82.95,9975,82.95,6615,82.95,218,82.95,556,82.95,3,82.95,0,82.95,12118,82.95
Samastipur,0,446.21,13316,446.21,8754,446.21,164,446.21,510,446.21,8,446.21,0,446.21,47761,446.21
Saran,0,591.43,9048,591.43,5941,591.43,953,591.43,307,591.43,0,591.43,12,591.43,160915,591.43
Sheikhpura,2,67.97,1453,67.97,617,67.97,47,67.97,44,67.97,27,67.97,17,67.97,9238,67.97
Sheohar,0,87.45,2818,87.45,2931,87.45,46,87.45,372,87.45,0,87.45,3,87.45,4015,87.45
Sitamarhi,0,294.64,6326,294.64,21219,294.64,84,294.64,180,294.64,1,294.64,1,294.64,25868,294.64
Siwan,3,298.14,3429,298.14,7214,298.14,461,298.14,572,298.14,0,298.14,2,298.14,64796,298.14
Supaul,0,26.43,1199,26.43,5971,26.43,44,26.43,74,26.43,10,26.43,0,26.43,1489,26.43
Vaishali,3,287.9,6604,287.9,15088,287.9,449,287.9,224,287.9,223,287.9,90,287.9,25836,287.9
