district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,export_credit_target,achie,achie,education_target,achie,achie,housing_target,achie,achie,social_target,achie,achie,renewable_energy_target,achie,achie,other_target,achie,achie,total_priority_sector_target,achie,achie
Araria,2065.11,21.13,21.13,2072.95,21.13,21.13,0.00,21.13,21.13,51.43,21.13,21.13,106.93,21.13,21.13,447.81,21.13,21.13,14.05,21.13,21.13,216.91,21.13,21.13,4975.19,21.13,21.13
Arwal,804.07,11.16,11.16,724.20,11.16,11.16,0.00,11.16,11.16,18.89,11.16,11.16,33.90,11.16,11.16,2.21,11.16,11.16,30.10,11.16,11.16,19.72,11.16,11.16,1633.09,11.16,11.16
Aurangabad,4505.06,9.37,9.37,1962.85,9.37,9.37,0.00,9.37,9.37,97.47,9.37,9.37,118.28,9.37,9.37,261.54,9.37,9.37,7.03,9.37,9.37,120.76,9.37,9.37,7072.99,9.37,9.37
Banka,1708.87,9.47,9.47,1471.25,9.47,9.47,0.00,9.47,9.47,99.28,9.47,9.47,229.93,9.47,9.47,219.13,9.47,9.47,11.19,9.47,9.47,86.54,9.47,9.47,3826.19,9.47,9.47
Begusarai,3550.54,22.32,22.32,3135.65,22.32,22.32,0.00,22.32,22.32,175.23,22.32,22.32,336.39,22.32,22.32,85.36,22.32,22.32,6.77,22.32,22.32,154.91,22.32,22.32,7444.85,22.32,22.32
Bhagalpur,3986.51,16.17,16.17,4064.51,16.17,16.17,0.00,16.17,16.17,158.52,16.17,16.17,330.65,16.17,16.17,283.14,16.17,16.17,8.83,16.17,16.17,247.96,16.17,16.17,9080.12,16.17,16.17
Bhojpur,3803.22,10.50,10.50,3037.38,10.50,10.50,0.00,10.50,10.50,70.92,10.50,10.50,129.38,10.50,10.50,8.96,10.50,10.50,134.45,10.50,10.50,82.55,10.50,10.50,7266.86,10.50,10.50
Buxar,3551.06,8.27,8.27,1513.00,8.27,8.27,0.00,8.27,8.27,45.39,8.27,8.27,87.72,8.27,8.27,17.85,8.27,8.27,3.39,8.27,8.27,104.96,8.27,8.27,5323.37,8.27,8.27
Darbhanga,3614.91,16.75,16.75,3032.57,16.75,16.75,0.00,16.75,16.75,99.25,16.75,16.75,178.50,16.75,16.75,106.46,16.75,16.75,12.47,16.75,16.75,181.15,16.75,16.75,7225.31,16.75,16.75
Gaya,4601.42,17.44,17.44,4422.00,17.44,17.44,0.00,17.44,17.44,104.72,17.44,17.44,187.94,17.44,17.44,408.55,17.44,17.44,28.24,17.44,17.44,214.46,17.44,17.44,9967.33,17.44,17.44
Gopalganj,4121.55,11.88,11.88,1602.46,11.88,11.88,0.00,11.88,11.88,48.40,11.88,11.88,100.74,11.88,11.88,6.55,11.88,11.88,103.97,11.88,11.88,39.92,11.88,11.88,6023.59,11.88,11.88
Jamui,1572.59,11.22,11.22,1195.49,11.22,11.22,0.00,11.22,11.22,56.53,11.22,11.22,131.41,11.22,11.22,8.63,11.22,11.22,55.10,11.22,11.22,109.89,11.22,11.22,3129.64,11.22,11.22
Jehanabad,1260.05,8.63,8.63,1284.99,8.63,8.63,0.00,8.63,8.63,35.61,8.63,8.63,65.03,8.63,8.63,6.03,8.63,8.63,69.91,8.63,8.63,41.81,8.63,8.63,2763.43,8.63,8.63
Kaimur (Bhabua),2833.68,9.57,9.57,1482.82,9.57,9.57,0.00,9.57,9.57,40.98,9.57,9.57,64.03,9.57,9.57,124.41,9.57,9.57,8.37,9.57,9.57,82.74,9.57,9.57,4637.03,9.57,9.57
Katihar,2403.56,18.29,18.29,2768.31,18.29,18.29,0.00,18.29,18.29,136.00,18.29,18.29,148.24,18.29,18.29,95.20,18.29,18.29,111.86,18.29,18.29,386.10,18.29,18.29,6049.27,18.29,18.29
Khagaria,2067.50,12.63,12.63,1338.97,12.63,12.63,0.00,12.63,12.63,37.00,12.63,12.63,66.90,12.63,12.63,32.30,12.63,12.63,7.01,12.63,12.63,70.98,12.63,12.63,3620.66,12.63,12.63
Kishanganj,1343.42,15.30,15.30,1363.51,15.30,15.30,0.00,15.30,15.30,28.64,15.30,15.30,213.01,15.30,15.30,86.56,15.30,15.30,11.07,15.30,15.30,320.05,15.30,15.30,3366.26,15.30,15.30
Lakhisarai,1327.89,9.15,9.15,1068.19,9.15,9.15,0.00,9.15,9.15,4.67,9.15,9.15,44.07,9.15,9.15,40.11,9.15,9.15,1.49,9.15,9.15,50.11,9.15,9.15,2536.53,9.15,9.15
Madhepura,1836.71,11.14,11.14,1476.00,11.14,11.14,0.00,11.14,11.14,88.40,11.14,11.14,223.98,11.14,11.14,166.08,11.14,11.14,28.53,11.14,11.14,240.49,11.14,11.14,4060.19,11.14,11.14
Madhubani,3989.84,10.49,10.49,3015.37,10.49,10.49,0.00,10.49,10.49,196.35,10.49,10.49,235.88,10.49,10.49,14.90,10.49,10.49,186.69,10.49,10.49,69.65,10.49,10.49,7708.68,10.49,10.49
Munger,1721.64,7.38,7.38,1641.70,7.38,7.38,0.00,7.38,7.38,47.77,7.38,7.38,112.31,7.38,7.38,32.43,7.38,7.38,0.72,7.38,7.38,167.82,7.38,7.38,3724.39,7.38,7.38
Muzaffarpur,5368.16,22.02,22.02,5583.63,22.02,22.02,0.00,22.02,22.02,182.33,22.02,22.02,214.62,22.02,22.02,582.41,22.02,22.02,15.91,22.02,22.02,280.59,22.02,22.02,12227.65,22.02,22.02
Nalanda,3461.58,10.71,10.71,2676.51,10.71,10.71,0.00,10.71,10.71,91.73,10.71,10.71,141.36,10.71,10.71,227.10,10.71,10.71,55.28,10.71,10.71,136.71,10.71,10.71,6790.27,10.71,10.71
Nawada,1868.36,12.41,12.41,1421.62,12.41,12.41,0.00,12.41,12.41,40.38,12.41,12.41,160.01,12.41,12.41,279.57,12.41,12.41,17.37,12.41,12.41,50.27,12.41,12.41,3837.58,12.41,12.41
Pashchim Champaran,2996.91,17.92,17.92,2562.91,17.92,17.92,0.00,17.92,17.92,104.55,17.92,17.92,63.58,17.92,17.92,51.81,17.92,17.92,8.11,17.92,17.92,383.13,17.92,17.92,6171.00,17.92,17.92
Patna,6998.67,31.45,31.45,19653.02,31.45,31.45,0.00,31.45,31.45,701.25,31.45,31.45,3890.03,31.45,31.45,322.83,31.45,31.45,103.96,31.45,31.45,593.67,31.45,31.45,32263.43,31.45,31.45
Purbi Champaran,4585.68,18.04,18.04,3560.45,18.04,18.04,0.00,18.04,18.04,131.95,18.04,18.04,207.18,18.04,18.04,193.20,18.04,18.04,110.87,18.04,18.04,202.44,18.04,18.04,8991.77,18.04,18.04
