district,atm_rural,atm_semi_urban,atm_urban,atm_total
Araria,18,89,3,110
Arwal,16,13,0,29
Aurangabad,34,50,56,140
Banka,28,65,0,93
Begusarai,29,57,112,198
Bhagalpur,32,72,182,286
Bhojpur,20,36,125,181
Buxar,17,19,62,98
Darbhanga,19,26,167,212
Gaya,61,45,208,314
Gopalganj,47,109,0,156
Jamui,14,44,1,59
Jehanabad,16,5,62,83
Kaimur (Bhabua),17,45,0,62
Katihar,21,11,79,111
Khagaria,6,68,1,75
Kishanganj,10,7,55,72
Lakhisarai,6,39,1,46
Madhepura,8,77,0,85
Madhubani,26,148,2,176
Munger,23,8,90,121
Muzaffarpur,67,45,289,401
Nalanda,46,43,104,193
Nawada,6,67,0,73
Pashchim Champaran,29,62,113,204
Patna,96,164,1223,1483
Purbi Champaran,28,69,131,228
Purnia,26,25,128,179
Rohtas,30,29,115,174
Saharsa,4,8,88,100
Samastipur,43,167,3,213
Saran,51,35,141,227
Sheikhpura,6,35,0,41
Sheohar,7,19,0,26
Sitamarhi,18,110,2,130
Siwan,43,37,118,198
Supaul,8,79,0,87
Vaishali,30,47,143,220
