district,micro_enterprises_manufacturing_service_including_khadi_vill,amt,small_enterprises_manufacturing_service_a_c,amt,medium_enterprises_manufacturing_service_a_c,amt,other_finance_to_msmes_as_indicated_in_master_direction_on_p,amt,out_of_other_finance_to_msmes_above_loans_upto_50_crores_to,amt,total_msmes_ps_a_c,amt
Araria,6549,663.13,252,663.13,16,663.13,7,663.13,0,663.13,6824,663.13
Arwal,1456,79.13,59,79.13,7,79.13,0,79.13,0,79.13,1522,79.13
Aurangabad,4493,424.14,131,424.14,12,424.14,2,424.14,0,424.14,4638,424.14
Banka,3098,144.73,39,144.73,2,144.73,0,144.73,0,144.73,3139,144.73
Begusarai,8996,1144.05,340,1144.05,45,1144.05,1,1144.05,0,1144.05,9382,1144.05
Bhagalpur,11282,1077.42,341,1077.42,19,1077.42,0,1077.42,0,1077.42,11642,1077.42
Bhojpur,5001,445.44,191,445.44,8,445.44,1,445.44,0,445.44,5201,445.44
Buxar,2827,258.41,265,258.41,7,258.41,1,258.41,0,258.41,3100,258.41
Darbhanga,15851,770.35,321,770.35,30,770.35,3,770.35,0,770.35,16205,770.35
Gaya,10557,1026.33,374,1026.33,33,1026.33,1,1026.33,0,1026.33,10965,1026.33
Gopalganj,6463,428.08,141,428.08,14,428.08,1,428.08,0,428.08,6619,428.08
Jamui,2585,212.85,77,212.85,7,212.85,0,212.85,0,212.85,2669,212.85
Jehanabad,3647,141.83,86,141.83,13,141.83,0,141.83,0,141.83,3746,141.83
Kaimur (Bhabua),2476,194.71,83,194.71,7,194.71,1,194.71,0,194.71,2567,194.71
Katihar,6872,636.68,221,636.68,11,636.68,6,636.68,0,636.68,7110,636.68
Khagaria,2983,285.37,117,285.37,1,285.37,1,285.37,0,285.37,3102,285.37
Kishanganj,4144,273.92,106,273.92,6,273.92,2,273.92,0,273.92,4258,273.92
Lakhisarai,1631,144.56,39,144.56,0,144.56,1,144.56,0,144.56,1671,144.56
Madhepura,4659,274.46,107,274.46,10,274.46,1,274.46,0,274.46,4777,274.46
Madhubani,11428,488.5,165,488.5,10,488.5,1,488.5,0,488.5,11604,488.5
Munger,2979,174.36,63,174.36,7,174.36,0,174.36,0,174.36,3049,174.36
Muzaffarpur,17342,1878.49,679,1878.49,53,1878.49,2,1878.49,0,1878.49,18076,1878.49
Nalanda,7831,530.24,330,530.24,15,530.24,1,530.24,0,530.24,8177,530.24
Nawada,3023,265.59,170,265.59,18,265.59,6,265.59,0,265.59,3217,265.59
Pashchim Champaran,9788,699.57,304,699.57,9,699.57,1,699.57,0,699.57,10102,699.57
Patna,28650,7968.21,2753,7968.21,638,7968.21,10,7968.21,0,7968.21,32051,7968.21
Purbi Champaran,11434,935.31,366,935.31,39,935.31,9,935.31,0,935.31,11848,935.31
Purnia,13371,1398.44,417,1398.44,41,1398.44,2,1398.44,0,1398.44,13831,1398.44
Rohtas,4598,579.99,220,579.99,13,579.99,0,579.99,0,579.99,4831,579.99
Saharsa,5454,383.85,150,383.85,11,383.85,1,383.85,0,383.85,5616,383.85
Samastipur,10659,854.06,400,854.06,17,854.06,7,854.06,0,854.06,11083,854.06
Saran,8962,597.69,205,597.69,4,597.69,6,597.69,0,597.69,9177,597.69
Sheikhpura,1153,89.42,38,89.42,1,89.42,0,89.42,0,89.42,1192,89.42
Sheohar,1551,57.36,10,57.36,1,57.36,1,57.36,0,57.36,1563,57.36
Sitamarhi,8249,513.11,168,513.11,14,513.11,7,513.11,0,513.11,8438,513.11
Siwan,12934,529.62,228,529.62,7,529.62,1,529.62,0,529.62,13170,529.62
Supaul,5780,303.51,162,303.51,8,303.51,2,303.51,0,303.51,5952,303.51
Vaishali,9165,636.45,255,636.45,10,636.45,1,636.45,0,636.45,9431,636.45
