district,kcc_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,22033,10.28,10279,10.28,16.47,10.28,40370,10.28,10279,10.28,16.47,10.28,62403,10.28,10279,10.28,16.47,10.28
Arwal,11941,0.61,221,0.61,0.84,0.61,14248,0.61,221,0.61,0.84,0.61,26189,0.61,221,0.61,0.84,0.61
Aurangabad,83834,1.03,2890,1.03,1.49,1.03,109887,1.03,2890,1.03,1.49,1.03,193721,1.03,2890,1.03,1.49,1.03
Banka,16274,1.93,2089,1.93,3.78,1.93,39034,1.93,2089,1.93,3.78,1.93,55308,1.93,2089,1.93,3.78,1.93
Begusarai,43112,3.82,9647,3.82,7.74,3.82,81591,3.82,9647,3.82,7.74,3.82,124703,3.82,9647,3.82,7.74,3.82
Bhagalpur,46438,1.95,4377,1.95,2.81,1.95,109299,1.95,4377,1.95,2.81,1.95,155737,1.95,4377,1.95,2.81,1.95
Bhojpur,60091,0.69,1824,0.69,1.31,0.69,79048,0.69,1824,0.69,1.31,0.69,139139,0.69,1824,0.69,1.31,0.69
Buxar,54735,0.97,1897,0.97,1.33,0.97,88249,0.97,1897,0.97,1.33,0.97,142984,0.97,1897,0.97,1.33,0.97
Darbhanga,40406,3.80,9459,3.80,9.34,3.80,60881,3.80,9459,3.80,9.34,3.80,101287,3.80,9459,3.80,9.34,3.80
Gaya,57525,1.99,4469,1.99,3.66,1.99,64742,1.99,4469,1.99,3.66,1.99,122267,1.99,4469,1.99,3.66,1.99
Gopalganj,56179,2.30,8000,2.30,4.34,2.30,127979,2.30,8000,2.30,4.34,2.30,184158,2.30,8000,2.30,4.34,2.30
Jamui,26509,1.24,1954,1.24,3.08,1.24,36941,1.24,1954,1.24,3.08,1.24,63450,1.24,1954,1.24,3.08,1.24
Jehanabad,23108,1.35,600,1.35,1.24,1.35,25322,1.35,600,1.35,1.24,1.35,48430,1.35,600,1.35,1.24,1.35
Kaimur (Bhabua),51077,2.76,2553,2.76,2.13,2.76,68784,2.76,2553,2.76,2.13,2.76,119861,2.76,2553,2.76,2.13,2.76
Katihar,30124,5.80,6683,5.80,8.36,5.80,49818,5.80,6683,5.80,8.36,5.80,79942,5.80,6683,5.80,8.36,5.80
Khagaria,33472,2.74,4915,2.74,5.40,2.74,57485,2.74,4915,2.74,5.40,2.74,90957,2.74,4915,2.74,5.40,2.74
Kishanganj,13826,10.07,7363,10.07,19.97,10.07,23044,10.07,7363,10.07,19.97,10.07,36870,10.07,7363,10.07,19.97,10.07
Lakhisarai,23772,1.16,999,1.16,1.87,1.16,29695,1.16,999,1.16,1.87,1.16,53467,1.16,999,1.16,1.87,1.16
Madhepura,33982,4.07,5874,4.07,7.80,4.07,41280,4.07,5874,4.07,7.80,4.07,75262,4.07,5874,4.07,7.80,4.07
Madhubani,47559,3.80,12646,3.80,9.01,3.80,92784,3.80,12646,3.80,9.01,3.80,140343,3.80,12646,3.80,9.01,3.80
Munger,13724,1.41,726,1.41,1.98,1.41,22904,1.41,726,1.41,1.98,1.41,36628,1.41,726,1.41,1.98,1.41
Muzaffarpur,59487,5.31,16969,5.31,9.68,5.31,115770,5.31,16969,5.31,9.68,5.31,175257,5.31,16969,5.31,9.68,5.31
Nalanda,47303,1.44,1837,1.44,1.70,1.44,60810,1.44,1837,1.44,1.70,1.44,108113,1.44,1837,1.44,1.70,1.44
Nawada,34329,1.51,2138,1.51,2.55,1.51,49507,1.51,2138,1.51,2.55,1.51,83836,1.51,2138,1.51,2.55,1.51
Pashchim Champaran,36632,9.72,17046,9.72,18.33,9.72,56380,9.72,17046,9.72,18.33,9.72,93012,9.72,17046,9.72,18.33,9.72
Patna,86569,1.34,2817,1.34,1.13,1.34,163105,1.34,2817,1.34,1.13,1.34,249674,1.34,2817,1.34,1.13,1.34
Purbi Champaran,77433,5.83,20675,5.83,10.88,5.83,112645,5.83,20675,5.83,10.88,5.83,190078,5.83,20675,5.83,10.88,5.83
Purnia,39829,8.00,11518,8.00,10.91,8.00,65776,8.00,11518,8.00,10.91,8.00,105605,8.00,11518,8.00,10.91,8.00
Rohtas,61787,2.71,3205,2.71,2.36,2.71,74148,2.71,3205,2.71,2.36,2.71,135935,2.71,3205,2.71,2.36,2.71
Saharsa,38197,4.03,5644,4.03,6.67,4.03,46449,4.03,5644,4.03,6.67,4.03,84646,4.03,5644,4.03,6.67,4.03
Samastipur,62798,4.16,10867,4.16,7.76,4.16,77310,4.16,10867,4.16,7.76,4.16,140108,4.16,10867,4.16,7.76,4.16
Saran,57276,2.86,6585,2.86,4.96,2.86,75610,2.86,6585,2.86,4.96,2.86,132886,2.86,6585,2.86,4.96,2.86
