District,Total Branch,Deposits Rural,Branch Semi-Urban,Branch Urban,Advances Rural,Overall CD Ratio
Araria,169,1452.86,4353.21,12.01,1614.28,88.52
Arwal,64,1725.09,475.28,14.51,613.48,45.70
Aurangabad,203,3515.13,2654.84,3074.66,1654.09,62.33
Banka,126,2879.91,2200.76,10.34,1272.32,51.01
Begusarai,235,2342.50,4826.21,4712.85,1682.71,74.14
Bhagalpur,293,3305.49,5119.22,10160.95,1539.03,48.47
Bhojpur,241,4156.78,3045.07,5933.60,1741.12,41.58
Buxar,158,2315.05,2201.66,2910.17,1052.68,45.06
Darbhanga,256,3537.74,2654.58,9262.26,2128.17,51.69
Gaya,323,7577.84,3396.83,10065.62,3994.07,54.90
Gopalganj,195,4556.87,5381.63,0.00,2138.50,48.28
Jamui,126,2464.22,3091.53,6.09,1107.59,49.41
Jehanabad,100,1676.45,640.47,2193.11,702.61,43.65
Kaimur (Bhabua),126,2621.77,2134.69,14.15,1494.19,59.85
Katihar,190,2719.99,1155.35,4561.59,2293.42,75.76
Khagaria,118,864.45,3780.95,12.10,597.35,61.73
Kishanganj,112,1285.41,718.08,2137.01,1251.57,79.64
Lakhisarai,87,1257.91,2533.66,11.55,572.67,45.99
Madhepura,129,1082.28,3529.47,11.73,901.91,71.13
Madhubani,285,3085.28,8122.47,26.76,1802.28,54.86
Munger,140,2248.81,1463.51,5388.85,785.61,32.46
Muzaffarpur,402,6420.58,3891.79,14435.72,5753.11,72.22
Nalanda,259,4762.91,4000.78,5072.40,1879.61,41.05
Nawada,161,1887.52,4900.48,0.00,1026.98,51.96
Pashchim Champaran,232,2066.35,2367.47,3933.74,1927.03,81.08
Patna,985,8203.31,12156.80,144172.63,4795.39,49.89
Purbi Champaran,312,2977.91,5120.04,4553.70,2848.95,80.88
Purnia,238,2309.98,1524.18,5806.84,2218.58,92.77
Rohtas,248,4053.44,2900.79,5550.69,2037.22,50.02
Saharsa,108,1378.50,1103.56,3060.76,966.61,64.34
Samastipur,306,5004.55,8404.54,54.52,2930.69,63.64
Saran,273,7001.09,3488.15,5393.40,3085.80,44.80
Sheikhpura,64,517.55,2016.14,3.21,263.80,49.26
Sheohar,48,385.02,961.78,0.00,285.75,71.08
Sitamarhi,176,1559.13,6537.47,47.82,869.56,60.91
Siwan,257,5746.07,4058.53,5683.52,3414.38,48.31
Supaul,127,1338.62,3752.49,0.00,1056.57,66.78
Vaishali,264,4873.85,3980.69,4345.25,5863.96,79.73
