district,disbursement_no,amt,outstanding_no,amt
Araria,10467,595.15,81935,595.15
Arwal,1901,52.69,12662,52.69
Aurangabad,9107,334.24,61363,334.24
Banka,9041,291.53,47753,291.53
Begusarai,25437,1066.82,164197,1066.82
Bhagalpur,14352,549.13,106557,549.13
Bhojpur,7086,212.18,49226,212.18
Buxar,5633,197.48,41053,197.48
Darbhanga,40776,1292.81,299516,1292.81
Gaya,16882,601.75,106537,601.75
Gopalganj,17317,592.56,139525,592.56
Jamui,6940,272.13,40989,272.13
Jehanabad,1657,97.97,18437,97.97
Kaimur (Bhabua),7355,216.55,37468,216.55
Katihar,25377,857.21,174923,857.21
Khagaria,6903,381.31,52689,381.31
Kishanganj,4488,278.2,28960,278.2
Lakhisarai,3674,118.13,22226,118.13
Madhepura,7794,512.61,64508,512.61
Madhubani,18135,937.04,132882,937.04
Munger,5260,184.52,26731,184.52
Muzaffarpur,31227,1790.94,257602,1790.94
Nalanda,7390,256.88,68020,256.88
Nawada,7411,259.6,40980,259.6
Pashchim Champaran,17688,731.7,146113,731.7
Patna,64980,3680.29,534352,3680.29
Purbi Champaran,38112,1149.36,253073,1149.36
Purnia,11863,757.9,109261,757.9
Rohtas,11810,500.49,75566,500.49
Saharsa,6279,409.7,52137,409.7
Samastipur,22411,1129.5,171404,1129.5
Saran,33417,910.07,220990,910.07
Sheikhpura,2558,72.18,16296,72.18
Sheohar,1259,96.13,13210,96.13
Sitamarhi,9225,563.97,68339,563.97
Siwan,14929,671.23,123952,671.23
Supaul,2921,187.24,24918,187.24
Vaishali,15162,884.5,112534,884.5
