district,outstanding_loans_to_women_a_c,amt,loans_disbursed_to_women_from_01_april_to_end_of_current_qua,amt
Araria,237595,301.57,36174,301.57
Arwal,24216,28.25,3513,28.25
Aurangabad,115377,137.69,16868,137.69
Banka,100330,104.98,15340,104.98
Begusarai,300729,359.15,41894,359.15
Bhagalpur,227618,351.21,35359,351.21
Bhojpur,139002,146.36,18138,146.36
Buxar,84455,108.14,12808,108.14
Darbhanga,403990,422.42,58223,422.42
Gaya,301907,336.22,37462,336.22
Gopalganj,210578,209.38,27364,209.38
Jamui,78608,105.82,12682,105.82
Jehanabad,34539,50.29,4781,50.29
Kaimur (Bhabua),68772,91.73,11810,91.73
Katihar,312196,348.21,48688,348.21
Khagaria,104602,133.85,14745,133.85
Kishanganj,145541,199.57,24695,199.57
Lakhisarai,51281,69.87,7856,69.87
Madhepura,172310,154.84,21086,154.84
Madhubani,254148,295.84,36340,295.84
Munger,71297,101.45,10736,101.45
Muzaffarpur,605702,625.04,77196,625.04
Nalanda,127436,164.76,18140,164.76
Nawada,91507,133.74,15293,133.74
Pashchim Champaran,235502,251.1,30928,251.1
Patna,1372267,1681.46,182808,1681.46
Purbi Champaran,411148,486.45,67483,486.45
Purnia,314137,334.4,39063,334.4
Rohtas,125300,159.52,18953,159.52
Saharsa,118308,142.98,17185,142.98
Samastipur,273292,333.94,37526,333.94
Saran,344903,407.13,55779,407.13
Sheikhpura,29819,39.74,4297,39.74
Sheohar,25664,27.57,2975,27.57
Sitamarhi,146880,187.09,20668,187.09
Siwan,290091,320.12,41736,320.12
Supaul,82759,120.4,13186,120.4
Vaishali,221509,310.44,35388,310.44
