District,"Total Banking Outlets
(BC/CSP) Outlet.","Of which, fixed point
BC/CSP Outlets",Other BC/CSP Outlets
Araria,2695,1493,1202
Arwal,468,284,184
Aurangabad,1533,801,732
Banka,1404,860,544
Begusarai,3377,2143,1234
Bhagalpur,2084,1021,1063
Bhojpur,1827,973,854
Buxar,1312,728,584
Darbhanga,3926,2402,1524
Gaya,10135,1347,8788
Gopalganj,2265,1253,1012
Jamui,1396,884,512
Jehanabad,618,354,264
Kaimur (Bhabua),1107,535,572
Katihar,1885,1161,724
Khagaria,1558,1079,479
Kishanganj,1209,700,509
Lakhisarai,690,402,288
Madhepura,1925,1092,833
Madhubani,3952,2887,1065
Munger,840,482,358
Muzaffarpur,13972,2177,11795
Nalanda,1857,1234,623
Nawada,1835,1114,721
Pashchim Champaran,4729,2857,1872
Patna,181513,1756,179757
Purbi Champaran,4614,3000,1614
Purnia,2557,1605,952
Rohtas,1833,1005,828
Saharsa,1728,1036,692
Samastipur,3689,2374,1315
Saran,3114,1875,1239
Sheikhpura,479,279,200
Sheohar,586,254,332
Sitamarhi,2324,1169,1155
Siwan,2221,1173,1048
Supaul,1893,1248,645
Vaishali,3886,2622,1264
