District,"Shishu
(Loans up to Rs. 50,000) Total Outstanding as
of quarter ended No.",Amt.,"Out of which under
NPA No.",Amt.,"Kishore
(Loans from Rs. 50,001 to Rs. 5.00 Lakh) Total Outstanding as
of quarter ended No.",Amt.,"Out of which under
NPA No.",Amt.,"Tarun
(Loans from Rs. 5.00 to Rs. 10.00 Lakh) Total Outstanding as
of quarter ended No.",Amt.,"Out of which under
NPA No.",Amt.,"Total (Loans up to Rs. 10.00 Lakh) Total Outstanding as
of quarter ended No.",Amt.,"Out of which under
NPA No.",Amt.,% Age NPA No.,Amt.
Araria,143133,301.26,6254,13.08,127140,885.24,3305,30.85,14233,343.79,252,10.82,284506,1530.29,9811,54.75,3.45,3.58
Arwal,18011,42.44,1150,2.38,10069,83.37,917,12.26,899,60.47,118,8.39,28979,186.28,2185,23.03,7.54,12.36
Aurangabad,73605,164.14,5857,13.16,50333,350.76,3639,43.27,2684,172.05,244,13.45,126622,686.95,9740,69.88,7.69,10.17
Banka,74165,163.97,5213,8.00,51634,365.97,2471,20.02,1524,89.26,113,5.31,127323,619.20,7797,33.33,6.12,5.38
Begusarai,198949,394.17,11728,19.84,159626,951.10,6710,47.48,3691,213.55,342,15.08,362266,1558.82,18780,82.40,5.18,5.29
Bhagalpur,131836,296.66,8067,14.95,117340,818.64,5001,41.69,4414,272.11,349,17.28,253590,1387.41,13417,73.92,5.29,5.33
Bhojpur,59777,142.81,5361,17.07,44231,315.12,3819,40.47,2976,167.95,313,15.57,106984,625.88,9493,73.11,8.87,11.68
Buxar,49818,114.07,5204,12.87,36654,272.20,3522,46.82,1982,117.39,254,14.16,88454,503.66,8980,73.85,10.15,14.66
Darbhanga,186264,415.41,11362,24.02,132296,1001.67,5432,42.43,25433,586.90,352,16.48,343993,2003.98,17146,82.93,4.98,4.14
Gaya,189936,418.91,8434,19.40,173932,1001.40,9772,141.20,6066,353.18,579,34.69,369934,1773.49,18785,195.29,5.08,11.01
Gopalganj,89882,208.34,7317,10.04,70581,600.04,3308,27.94,14174,386.61,414,16.03,174637,1194.99,11039,54.01,6.32,4.52
Jamui,68650,142.60,3707,6.40,53842,338.24,2029,18.40,1516,93.90,217,13.69,124008,574.74,5953,38.49,4.80,6.70
Jehanabad,30275,66.12,2539,7.52,24602,193.74,1988,26.08,1354,82.38,201,13.01,56231,342.24,4728,46.61,8.41,13.62
Kaimur (Bhabua),34619,78.22,5436,9.76,31699,219.23,2967,34.43,1508,90.55,215,11.13,67826,388.00,8618,55.32,12.71,14.26
Katihar,132148,287.16,6704,10.98,114692,855.69,4007,30.89,14293,431.34,242,11.55,261133,1574.19,10953,53.42,4.19,3.39
Khagaria,96249,196.00,4981,8.28,62890,401.90,2674,22.60,1609,93.41,169,7.71,160748,691.31,7824,38.59,4.87,5.58
Kishanganj,69419,150.81,3405,8.87,88810,634.15,2104,19.01,8740,174.29,98,4.45,166969,959.25,5607,32.33,3.36,3.37
Lakhisarai,30462,66.80,1563,2.48,28115,192.94,1046,7.93,879,52.39,61,3.20,59456,312.13,2670,13.61,4.49,4.36
Madhepura,85575,171.98,5148,10.22,64985,496.11,2411,22.02,10731,247.47,205,8.77,161291,915.56,7764,41.01,4.81,4.48
Madhubani,189777,383.51,9509,23.30,114124,1011.06,4256,44.84,32715,831.86,330,17.83,336616,2226.43,14095,85.97,4.19,3.86
Munger,53098,113.28,5356,10.00,42147,295.62,2675,28.29,1824,119.66,240,14.41,97069,528.56,8271,52.70,8.52,9.97
Muzaffarpur,356774,784.17,16079,34.21,187900,1303.64,9419,85.71,21916,661.92,1018,55.12,566590,2749.73,26516,175.04,4.68,6.37
Nalanda,65034,149.59,4334,9.76,55726,454.28,5473,71.86,3765,231.19,405,21.55,124525,835.06,10212,103.17,8.20,12.35
Nawada,68586,152.78,4312,10.79,56696,368.52,2803,24.77,2845,169.81,287,14.69,128127,691.11,7402,50.25,5.78,7.27
Pashchim Champaran,140931,326.56,24914,41.74,90283,781.13,7907,46.20,22488,561.05,414,20.08,253702,1668.74,33235,108.02,13.10,6.47
Patna,712601,1710.49,28823,68.56,231960,1647.04,15426,148.38,16421,960.28,2097,116.66,960982,4317.81,46346,333.60,4.82,7.73
Purbi Champaran,183439,416.18,21069,36.22,153657,1065.53,8136,57.41,15706,540.72,485,25.18,352802,2022.43,29690,118.81,8.42,5.87
Purnia,116646,264.10,7419,14.75,123802,860.22,4454,36.07,13818,424.22,444,19.67,254266,1548.54,12317,70.49,4.84,4.55
Rohtas,117096,242.52,10791,17.64,65510,458.75,5405,67.08,4304,268.46,734,46.00,186910,969.73,16930,130.72,9.06,13.48
Saharsa,83201,166.05,5906,11.52,61210,492.34,2940,28.80,11124,268.85,266,14.33,155535,927.24,9112,54.65,5.86,5.89
Samastipur,243488,499.27,10902,23.94,177713,1087.43,6321,47.13,4516,282.13,342,18.57,425717,1868.83,17565,89.64,4.13,4.80
Saran,176269,411.99,17465,27.84,135474,878.69,8660,56.23,15395,490.82,505,28.31,327138,1781.50,26630,112.38,8.14,6.31
Sheikhpura,16140,40.36,859,1.90,12271,109.16,1234,12.96,962,60.85,102,5.66,29373,210.37,2195,20.52,7.47,9.75
Sheohar,18648,37.07,2352,3.57,11720,113.74,1179,13.15,2611,62.71,83,5.32,32979,213.52,3614,22.04,10.96,10.32
Sitamarhi,127126,243.48,7247,16.49,90725,743.91,4106,42.39,19043,456.52,376,19.51,236894,1443.91,11729,78.39,4.95,5.43
Siwan,150354,329.72,8544,14.93,109106,887.79,3852,33.32,14860,510.06,319,15.78,274320,1727.57,12715,64.03,4.64,3.71
Supaul,53025,102.61,4612,11.50,48066,432.37,2355,21.32,11675,270.29,148,5.90,112766,805.27,7115,38.72,6.31,4.81
Vaishali,208649,406.40,13455,21.95,159120,1073.56,6646,50.26,16232,477.48,499,24.58,384001,1957.44,20600,96.79,5.36,4.94
