district,shishu_account,amount,kishor_account,amount,tarun_account,amount,total_account,amount
Araria,20701,199.08,17816,199.08,1334,199.08,39851,199.08
Arwal,2764,30.6,1243,30.6,144,30.6,4151,30.6
Aurangabad,9574,110.43,6541,110.43,581,110.43,16696,110.43
Banka,13040,108.93,6737,108.93,288,108.93,20065,108.93
Begusarai,26987,246.83,22722,246.83,1065,246.83,50774,246.83
Bhagalpur,21525,213.24,17022,213.24,930,213.24,39477,213.24
Bhojpur,8522,102.24,6168,102.24,629,102.24,15319,102.24
Buxar,7005,80.4,4679,80.4,402,80.4,12086,80.4
Darbhanga,20526,211.94,23381,211.94,2990,211.94,46897,211.94
Gaya,25582,250.8,17041,250.8,1310,250.8,43933,250.8
Gopalganj,10813,123.85,11810,123.85,1851,123.85,24474,123.85
Jamui,11175,99.26,7900,99.26,360,99.26,19435,99.26
Jehanabad,3426,40.56,3723,40.56,278,40.56,7427,40.56
Kaimur (Bhabua),5846,62.93,4202,62.93,295,62.93,10343,62.93
Katihar,19423,190.75,16426,190.75,1651,190.75,37500,190.75
Khagaria,11197,112.85,7875,112.85,464,112.85,19536,112.85
Kishanganj,14307,121.3,13103,121.3,643,121.3,28053,121.3
Lakhisarai,4301,46.33,3744,46.33,218,46.33,8263,46.33
Madhepura,10228,102.74,9436,102.74,1038,102.74,20702,102.74
Madhubani,25417,257.21,21474,257.21,4429,257.21,51320,257.21
Munger,8902,87.55,5834,87.55,425,87.55,15161,87.55
Muzaffarpur,38606,419.07,29906,419.07,3798,419.07,72310,419.07
Nalanda,10302,125.61,7835,125.61,815,125.61,18952,125.61
Nawada,11137,113.93,8235,113.93,447,113.93,19819,113.93
Pashchim Champaran,16062,197.41,13218,197.41,2501,197.41,31781,197.41
Patna,67583,773.26,32482,773.26,3817,773.26,103882,773.26
Purbi Champaran,25011,308.86,22749,308.86,4682,308.86,52442,308.86
Purnia,16410,202.33,17940,202.33,2521,202.33,36871,202.33
Rohtas,16456,164.88,9415,164.88,796,164.88,26667,164.88
Saharsa,9887,96.62,8882,96.62,893,96.62,19662,96.62
Samastipur,31250,298.46,23927,298.46,1408,298.46,56585,298.46
Saran,22576,265.34,18607,265.34,4591,265.34,45774,265.34
Sheikhpura,2563,32.86,1429,32.86,225,32.86,4217,32.86
Sheohar,1880,22.73,1903,22.73,352,22.73,4135,22.73
Sitamarhi,15509,159.27,13983,159.27,2421,159.27,31913,159.27
Siwan,16275,190.44,19473,190.44,2549,190.44,38297,190.44
Supaul,6581,84.71,7431,84.71,1187,84.71,15199,84.71
Vaishali,27248,277.09,23729,277.09,3090,277.09,54067,277.09
