District,"1 AGRICULTURE TOTAL
0/S","TOTAL
NPA",%AGE,"2 MSME TOTAL
0/S","TOTAL
NPA",%AGE,3 OPS TOTAL 0/S,"TOTAL
NPA",%AGE,4 TOTAL PRIORITY SECTOR TOTAL 0/S,"TOTAL
NPA",%AGE,"5 NPS TOTAL
0/S","TOTAL
NPA",%AGE,6 NPA IN TOTAL ADVANCE TOTAL 0/S,"TOTAL
NPA",%AGE
Araria,1612.86,303.55,18.82,1262.86,77.2,6.11,408.74,12.33,3.02,3284.47,393.08,11.97,1866,34.5,1.85,5149.99,427.58,8.30
Arwal,381.52,157.95,41.40,198.38,35.3,17.79,68.35,9.23,13.50,648.24,202.48,31.24,347,8.22,2.37,995.73,210.7,21.16
Aurangabad,1645.23,572.19,34.78,989.71,100.31,10.14,322.79,32.43,10.05,2957.73,704.93,23.83,2795,39.63,1.42,5752.72,744.56,12.94
Banka,1046.69,300.83,28.74,515.8,127.22,24.66,209.43,11.4,5.44,1771.92,439.45,24.80,862,28.51,3.31,2633.93,467.96,17.77
Begusarai,2831.23,483.42,17.07,2327.43,135.97,5.84,477.34,25.6,5.36,5636,644.99,11.44,3184,42.78,1.34,8819.5,687.77,7.80
Bhagalpur,1761.65,371.38,21.08,2292.13,137.59,6.00,683.26,18.3,2.68,4737.05,527.27,11.13,4229,67.31,1.59,8965.82,594.58,6.63
Bhojpur,1662.7,423.67,25.48,1067.56,104.44,9.78,379.57,24.87,6.55,3109.83,552.98,17.78,2299,48.46,2.11,5408.91,601.44,11.12
Buxar,1197.17,499.51,41.72,642.02,105.85,16.49,242.7,12.07,4.97,2081.88,617.43,29.66,1269,33.96,2.68,3351.37,651.39,19.44
Darbhanga,1877.07,146.57,7.81,1976.42,124.67,6.31,562.77,23.56,4.19,4416.26,294.8,6.68,3572,39.4,1.10,7988.4,334.2,4.18
Gaya,3756.64,755.33,20.11,2489.46,313.87,12.61,768.14,45.35,5.90,7014.24,1114.55,15.89,4544,114.77,2.53,11557.81,1229.32,10.64
Gopalganj,1946.89,317.25,16.30,1098.95,81.14,7.38,282.15,11.83,4.19,3327.98,410.22,12.33,1529,27.18,1.78,4856.84,437.4,9.01
Jamui,1084.29,450.25,41.52,448.21,67.39,15.04,215.88,6.92,3.21,1748.38,524.56,30.00,1069,24.77,2.32,2816.97,549.33,19.50
