district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,251,779.56,94283,779.56,65,779.56,86,779.56,2,779.56,124,779.56,94811,779.56
Arwal,36,27.52,2753,27.52,10,27.52,24,27.52,0,27.52,12,27.52,2835,27.52
Aurangabad,123,134.2,11586,134.2,42,134.2,65,134.2,8,134.2,88,134.2,11912,134.2
Banka,98,97.18,12135,97.18,27,97.18,72,97.18,0,97.18,20,97.18,12352,97.18
Begusarai,178,312.43,41565,312.43,1589,312.43,81,312.43,1,312.43,92,312.43,43506,312.43
Bhagalpur,214,399.19,42228,399.19,614,399.19,101,399.19,1,399.19,75,399.19,43233,399.19
Bhojpur,165,186.26,41743,186.26,30,186.26,73,186.26,0,186.26,83,186.26,42094,186.26
Buxar,51,70.43,7560,70.43,28,70.43,49,70.43,0,70.43,35,70.43,7723,70.43
Darbhanga,308,451.99,41641,451.99,959,451.99,79,451.99,4,451.99,57,451.99,43048,451.99
Gaya,2642,561.38,98374,561.38,11861,561.38,1168,561.38,366,561.38,186,561.38,114597,561.38
Gopalganj,137,240.5,22321,240.5,92,240.5,85,240.5,2,240.5,56,240.5,22693,240.5
Jamui,204,113.03,12850,113.03,64,113.03,75,113.03,1,113.03,43,113.03,13237,113.03
Jehanabad,6,45.7,4730,45.7,5,45.7,11,45.7,0,45.7,4,45.7,4756,45.7
Kaimur (Bhabua),46,88.1,7930,88.1,10,88.1,22,88.1,0,88.1,23,88.1,8031,88.1
Katihar,3116,847.73,84821,847.73,66,847.73,251,847.73,2,847.73,46,847.73,88302,847.73
Khagaria,71,90.12,9220,90.12,31,90.12,47,90.12,5,90.12,28,90.12,9402,90.12
Kishanganj,682,1090.47,120993,1090.47,72,1090.47,53,1090.47,0,1090.47,112,1090.47,121912,1090.47
Lakhisarai,17,25.42,2958,25.42,4,25.42,28,25.42,5,25.42,13,25.42,3025,25.42
Madhepura,142,185.1,35348,185.1,45,185.1,69,185.1,0,185.1,51,185.1,35655,185.1
Madhubani,178,398.38,46233,398.38,36,398.38,70,398.38,5,398.38,55,398.38,46577,398.38
Munger,108,97.35,7460,97.35,41,97.35,89,97.35,6,97.35,34,97.35,7738,97.35
Muzaffarpur,798,724.46,105105,724.46,1365,724.46,380,724.46,7,724.46,200,724.46,107855,724.46
Nalanda,185,142.31,14983,142.31,263,142.31,69,142.31,5,142.31,50,142.31,15555,142.31
Nawada,59,104.51,11653,104.51,43,104.51,15,104.51,0,104.51,47,104.51,11817,104.51
Pashchim Champaran,541,434.95,41856,434.95,110,434.95,179,434.95,3,434.95,100,434.95,42789,434.95
Patna,1464,1908.23,344535,1908.23,2665,1908.23,672,1908.23,309,1908.23,257,1908.23,349902,1908.23
Purbi Champaran,354,686.21,79307,686.21,609,686.21,246,686.21,8,686.21,162,686.21,80686,686.21
Purnia,868,1067.32,118692,1067.32,500,1067.32,141,1067.32,5,1067.32,135,1067.32,120341,1067.32
Rohtas,134,171.73,15216,171.73,84,171.73,324,171.73,14,171.73,42,171.73,15814,171.73
Saharsa,260,175.62,18832,175.62,35,175.62,66,175.62,1,175.62,13,175.62,19207,175.62
Samastipur,341,290.34,29690,290.34,127,290.34,219,290.34,6,290.34,80,290.34,30463,290.34
Saran,227,229.05,22539,229.05,134,229.05,125,229.05,11,229.05,79,229.05,23115,229.05
Sheikhpura,95,32.55,2662,32.55,54,32.55,40,32.55,3,32.55,28,32.55,2882,32.55
Sheohar,17,42.12,4388,42.12,39,42.12,17,42.12,1,42.12,8,42.12,4470,42.12
Sitamarhi,123,247.14,24951,247.14,120,247.14,253,247.14,0,247.14,52,247.14,25499,247.14
Siwan,1789,706.92,178404,706.92,268,706.92,113,706.92,6,706.92,69,706.92,180649,706.92
Supaul,347,185.28,15591,185.28,77,185.28,68,185.28,1,185.28,30,185.28,16114,185.28
Vaishali,800,987.92,387327,987.92,282,987.92,196,987.92,10,987.92,100,987.92,388715,987.92
