district,farm_production_organistaion_no,amt,dairy_dev_no,amt,farm_mechanisation_no,amt,poultry_no,amt,fisheries_no,amt,rural_godown_no,amt,agri_clinic_no,amt,other_no,amt
Araria,0,64.12,949,64.12,2790,64.12,98,64.12,15,64.12,1,64.12,0,64.12,8583,64.12
Arwal,0,8.85,140,8.85,30,8.85,15,8.85,33,8.85,0,8.85,0,8.85,1067,8.85
Aurangabad,0,58.17,167,58.17,976,58.17,33,58.17,3,58.17,0,58.17,0,58.17,7708,58.17
Banka,0,29.59,2706,29.59,399,29.59,81,29.59,34,29.59,0,29.59,0,29.59,4818,29.59
Begusarai,0,124.41,3299,124.41,1792,124.41,59,124.41,53,124.41,1,124.41,0,124.41,17598,124.41
Bhagalpur,0,79.73,2825,79.73,2105,79.73,161,79.73,123,79.73,0,79.73,0,79.73,10344,79.73
Bhojpur,0,56.35,629,56.35,82,56.35,33,56.35,46,56.35,0,56.35,0,56.35,8008,56.35
Buxar,0,83.34,150,83.34,400,83.34,7,83.34,3,83.34,1,83.34,0,83.34,4777,83.34
Darbhanga,0,172.39,1727,172.39,2784,172.39,49,172.39,65,172.39,0,172.39,0,172.39,30617,172.39
Gaya,0,81.34,1157,81.34,1935,81.34,69,81.34,71,81.34,0,81.34,0,81.34,11605,81.34
Gopalganj,0,76.02,768,76.02,920,76.02,41,76.02,20,76.02,0,76.02,0,76.02,12626,76.02
Jamui,0,51.01,197,51.01,192,51.01,12,51.01,1,51.01,0,51.01,0,51.01,3048,51.01
Jehanabad,0,13.69,113,13.69,171,13.69,23,13.69,5,13.69,0,13.69,0,13.69,1465,13.69
Kaimur (Bhabua),1,36.91,224,36.91,665,36.91,6,36.91,6,36.91,1,36.91,0,36.91,4057,36.91
Katihar,0,126.76,994,126.76,1327,126.76,36,126.76,617,126.76,2,126.76,0,126.76,21137,126.76
Khagaria,0,39.03,2392,39.03,1081,39.03,25,39.03,76,39.03,2,39.03,0,39.03,4341,39.03
Kishanganj,0,19.03,587,19.03,1850,19.03,87,19.03,48,19.03,0,19.03,0,19.03,3534,19.03
Lakhisarai,0,18.07,759,18.07,105,18.07,5,18.07,8,18.07,0,18.07,0,18.07,1454,18.07
Madhepura,0,37.43,1266,37.43,2018,37.43,14,37.43,18,37.43,0,37.43,0,37.43,6654,37.43
Madhubani,0,63.46,1471,63.46,2639,63.46,15,63.46,88,63.46,0,63.46,0,63.46,11690,63.46
Munger,0,17.35,1380,17.35,66,17.35,65,17.35,49,17.35,0,17.35,0,17.35,2501,17.35
Muzaffarpur,0,241.42,4714,241.42,3294,241.42,181,241.42,172,241.42,2,241.42,0,241.42,20685,241.42
Nalanda,0,36.7,1576,36.7,637,36.7,78,36.7,63,36.7,2,36.7,0,36.7,4757,36.7
Nawada,0,22.92,138,22.92,283,22.92,15,22.92,3,22.92,0,22.92,0,22.92,2936,22.92
Pashchim Champaran,0,115.22,2247,115.22,3413,115.22,67,115.22,57,115.22,0,115.22,0,115.22,11744,115.22
Patna,0,470.42,3942,470.42,1692,470.42,117,470.42,54,470.42,2,470.42,3,470.42,38381,470.42
Purbi Champaran,0,142.48,2891,142.48,2997,142.48,137,142.48,146,142.48,0,142.48,0,142.48,15231,142.48
Purnia,0,91.34,1685,91.34,1936,91.34,43,91.34,127,91.34,14,91.34,0,91.34,11046,91.34
Rohtas,0,59.19,936,59.19,779,59.19,24,59.19,152,59.19,3,59.19,0,59.19,6719,59.19
Saharsa,0,37,1991,37,2025,37,22,37,94,37,0,37,0,37,5112,37
Samastipur,0,165.56,2831,165.56,2644,165.56,55,165.56,60,165.56,1,165.56,0,165.56,14418,165.56
Saran,0,146.43,1598,146.43,733,146.43,127,146.43,46,146.43,0,146.43,0,146.43,26623,146.43
Sheikhpura,2,14.14,298,14.14,48,14.14,13,14.14,4,14.14,0,14.14,0,14.14,2208,14.14
Sheohar,0,14.79,1179,14.79,373,14.79,10,14.79,96,14.79,0,14.79,0,14.79,3362,14.79
Sitamarhi,0,63.6,1347,63.6,2898,63.6,20,63.6,61,63.6,0,63.6,0,63.6,9211,63.6
Siwan,3,69.18,543,69.18,1219,69.18,64,69.18,19,69.18,0,69.18,0,69.18,10682,69.18
Supaul,0,8.41,128,8.41,836,8.41,14,8.41,1,8.41,0,8.41,0,8.41,825,8.41
Vaishali,2,92.47,2041,92.47,1736,92.47,102,92.47,27,92.47,1,92.47,0,92.47,8970,92.47
