District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,1104.36,6549,399.86,36.21
Arwal,385.82,1456,57.59,14.93
Aurangabad,1045.71,4493,321.47,30.74
Banka,783.81,3098,110.77,14.13
Begusarai,1670.52,8996,557.3,33.36
Bhagalpur,2165.37,11282,618.93,28.58
Bhojpur,1618.17,5001,285.15,17.62
Buxar,806.05,2827,181.84,22.56
Darbhanga,1615.6,15851,483.39,29.92
Gaya,2355.82,10557,616.7,26.18
Gopalganj,853.71,6463,288.25,33.76
Jamui,636.9,2585,136.87,21.49
Jehanabad,684.58,3647,109.24,15.96
Kaimur (Bhabua),789.97,2476,140.77,17.82
Katihar,1474.82,6872,363.75,24.66
Khagaria,713.34,2983,182.21,25.54
Kishanganj,726.41,4144,163.49,22.51
Lakhisarai,569.08,1631,127.84,22.46
Madhepura,786.34,4659,191.52,24.36
Madhubani,1606.44,11428,367.88,22.90
Munger,874.62,2979,150.07,17.16
Muzaffarpur,2974.68,17342,1105.56,37.17
Nalanda,1425.91,7831,366.79,25.72
Nawada,757.37,3023,194.29,25.65
Pashchim Champaran,1365.4,9788,476.47,34.90
Patna,10470.16,28650,3209.78,30.66
Purbi Champaran,1896.83,11434,631.57,33.30
Purnia,1670.97,13371,756.62,45.28
Rohtas,1489.84,4598,401.96,26.98
Saharsa,702.19,5454,247.56,35.26
Samastipur,1874.15,10659,553.99,29.56
Saran,1782.67,8962,436.65,24.49
Sheikhpura,369.44,1153,68.96,18.67
Sheohar,312.46,1551,52.59,16.83
Sitamarhi,1069.83,8249,366.66,34.27
Siwan,1568.61,12934,378.33,24.12
Supaul,854.19,5780,213.73,25.02
Vaishali,1147.86,9165,433.94,37.80
