District,"Number of
operative CASA","Number of Aadhaar
seeded CASA","Number of
Authenticated CASA"
Araria,2670567,2214705,1650306
Arwal,694168,518949,409425
Aurangabad,2705910,2060891,1067264
Banka,1912217,1634797,1421622
Begusarai,3197295,2417186,1853939
Bhagalpur,3254569,2742214,2407245
Bhojpur,2998829,2137139,1245471
Buxar,1971195,1412211,905380
Darbhanga,3350150,2720316,1737980
Gaya,4562708,3370890,1942435
Gopalganj,2774312,2251029,1372057
Jamui,1805115,1294422,1038208
Jehanabad,1102470,785404,480937
Kaimur (Bhabua),1654914,1177313,683806
Katihar,2800842,2201755,1715269
Khagaria,1421683,889046,920544
Kishanganj,1763408,1521738,1097235
Lakhisarai,1026697,712181,551383
Madhepura,1897316,1467320,973756
Madhubani,3896890,3215034,1849568
Munger,1428622,1032105,806077
Muzaffarpur,5153059,4258370,2836666
Nalanda,2978808,2040882,1319574
Nawada,2316640,1384677,860065
Pashchim Champaran,3661192,2907234,1882928
Patna,9099969,6913107,4213808
Purbi Champaran,4952678,3696422,2557245
Purnia,3223607,2540577,1960591
Rohtas,3145728,2284658,1324366
Saharsa,1685191,1298755,843166
Samastipur,4125808,2963891,2359998
Saran,4316375,3323309,2064761
Sheikhpura,701749,518300,349646
Sheohar,595009,535184,400635
Sitamarhi,3158241,2728903,1831392
Siwan,4197701,3498826,1761298
Supaul,2048203,1637030,1053630
Vaishali,4493194,3708845,1920397
