district,total_advances,prio_sec_adv,of_p_s_adv,agl_adv,of_agl_adv,msme,of_msme_adv,ops_adv,of_ops_adv,nps_adv,of_nps_adv
Araria,5150.02,3284.47,63.78,1612.86,31.32,1262.86,24.52,408.74,7.94,1865.52,36.22
Arwal,1012.12,648.24,64.05,381.52,37.70,198.38,19.60,68.35,6.75,347.48,34.33
Aurangabad,5761.75,2957.73,51.33,1645.23,28.55,989.71,17.18,322.79,5.60,2794.99,48.51
Banka,2597.14,1771.92,68.23,1046.69,40.30,515.80,19.86,209.43,8.06,862.01,33.19
Begusarai,8809.30,5636.00,63.98,2831.23,32.14,2327.43,26.42,477.34,5.42,3183.51,36.14
Bhagalpur,9007.98,4737.05,52.59,1761.65,19.56,2292.13,25.45,683.26,7.59,4228.78,46.94
Bhojpur,5461.27,3109.83,56.94,1662.70,30.45,1067.56,19.55,379.57,6.95,2299.08,42.10
Buxar,3346.78,2081.88,62.21,1197.17,35.77,642.02,19.18,242.70,7.25,1269.49,37.93
Darbhanga,7988.43,4416.26,55.28,1877.07,23.50,1976.42,24.74,562.77,7.04,3572.14,44.72
Gaya,11551.65,7014.24,60.72,3756.64,32.52,2489.46,21.55,768.14,6.65,4543.57,39.33
Gopalganj,4798.75,3327.98,69.35,1946.89,40.57,1098.95,22.90,282.15,5.88,1528.85,31.86
Jamui,2747.91,1748.38,63.63,1084.29,39.46,448.21,16.31,215.88,7.86,1068.60,38.89
Jehanabad,1968.45,1118.21,56.81,598.86,30.42,396.23,20.13,123.11,6.25,791.82,40.23
Kaimur (Bhabua),2855.19,1887.07,66.09,1244.40,43.58,465.58,16.31,177.10,6.20,924.43,32.38
Katihar,6391.44,4072.84,63.72,2301.87,36.01,1334.23,20.88,436.74,6.83,2318.64,36.28
Khagaria,2874.87,1958.35,68.12,1258.39,43.77,545.40,18.97,154.56,5.38,998.09,34.72
Kishanganj,3297.36,2089.48,63.37,1149.04,34.85,643.98,19.53,296.46,8.99,1207.88,36.63
Lakhisarai,1749.23,1065.36,60.90,641.87,36.69,299.80,17.14,123.69,7.07,722.09,41.28
Madhepura,3288.74,2069.27,62.92,1219.66,37.09,680.93,20.70,168.69,5.13,1219.40,37.08
Madhubani,6163.63,3800.40,61.66,1748.88,28.37,1662.82,26.98,388.70,6.31,2363.24,38.34
Munger,2954.02,1388.44,47.00,616.60,20.87,537.61,18.20,234.24,7.93,1592.72,53.92
Muzaffarpur,17873.92,9478.73,53.03,4183.81,23.41,4043.27,22.62,1251.64,7.00,8394.02,46.96
Nalanda,5680.34,3488.92,61.42,1822.22,32.08,1255.95,22.11,410.74,7.23,2191.48,38.58
Nawada,3526.81,2295.44,65.09,1261.52,35.77,745.62,21.14,288.31,8.17,1233.39,34.97
Pashchim Champaran,6784.40,4393.94,64.77,2281.47,33.63,1590.83,23.45,521.65,7.69,2390.50,35.24
Patna,82092.90,29303.78,35.70,8814.31,10.74,15548.77,18.94,4940.70,6.02,52752.99,64.26
Purbi Champaran,10232.43,6687.65,65.36,3820.80,37.34,2217.49,21.67,649.36,6.35,3544.82,34.64
Purnia,8943.95,5755.35,64.35,2650.19,29.63,2490.07,27.84,615.09,6.88,3188.56,35.65
Rohtas,6255.27,3904.48,62.42,2002.68,32.02,1481.48,23.68,420.31,6.72,2298.20,36.74
Saharsa,3566.37,2212.74,62.04,1185.41,33.24,861.63,24.16,165.70,4.65,1353.62,37.96
Samastipur,8567.79,5512.39,64.34,3157.27,36.85,1811.62,21.14,543.50,6.34,3146.29,36.72
Saran,7114.67,4305.19,60.51,2282.28,32.08,1519.75,21.36,503.15,7.07,2786.54,39.17
Sheikhpura,1249.58,780.69,62.48,422.42,33.80,265.51,21.25,92.76,7.42,486.55,38.94
Sheohar,957.29,642.31,67.10,419.12,43.78,177.67,18.56,45.52,4.76,314.42,32.84
Sitamarhi,4960.85,3141.15,63.32,1578.02,31.81,1272.15,25.64,290.98,5.87,1820.32,36.69
Siwan,7482.26,5313.76,71.02,3239.18,43.29,1522.33,20.35,552.25,7.38,2061.07,27.55
Supaul,3399.64,2011.26,59.16,1154.23,33.95,686.00,20.18,171.03,5.03,1388.40,40.84
Vaishali,10524.36,7570.89,71.94,5420.12,51.50,1648.30,15.66,502.46,4.77,2953.50,28.06
