district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,other_priority_sector_target,achie,achie,total_priority_sector_target,achie,achie,non_priority_sector_target,achie,achie,grand_total_target,achie,achie
Araria,2065.11,22.27,22.27,2072.95,22.27,22.27,837.13,22.27,22.27,4975.19,22.27,22.27,1436.96,22.27,22.27,6412.15,22.27,22.27
Arwal,804.07,11.42,11.42,724.20,11.42,11.42,104.82,11.42,11.42,1633.09,11.42,11.42,538.64,11.42,11.42,2171.73,11.42,11.42
Aurangabad,4505.06,10.41,10.41,1962.85,10.41,10.41,605.08,10.41,10.41,7072.99,10.41,10.41,1632.12,10.41,10.41,8705.11,10.41,10.41
Banka,1708.87,10.55,10.55,1471.25,10.55,10.55,646.07,10.55,10.55,3826.19,10.55,10.55,1018.31,10.55,10.55,4844.50,10.55,10.55
Begusarai,3550.54,23.26,23.26,3135.65,23.26,23.26,758.66,23.26,23.26,7444.85,23.26,23.26,2042.04,23.26,23.26,9486.89,23.26,23.26
Bhagalpur,3986.51,18.35,18.35,4064.51,18.35,18.35,1029.10,18.35,18.35,9080.12,18.35,18.35,2883.96,18.35,18.35,11964.08,18.35,18.35
Bhojpur,3803.22,12.40,12.40,3037.38,12.40,12.40,426.26,12.40,12.40,7266.86,12.40,12.40,1769.05,12.40,12.40,9035.91,12.40,12.40
Buxar,3551.06,9.35,9.35,1513.00,9.35,9.35,259.31,9.35,9.35,5323.37,9.35,9.35,1320.72,9.35,9.35,6644.09,9.35,9.35
Darbhanga,3614.91,18.37,18.37,3032.57,18.37,18.37,577.83,18.37,18.37,7225.31,18.37,18.37,2157.43,18.37,18.37,9382.74,18.37,18.37
Gaya,4601.42,17.83,17.83,4422.00,17.83,17.83,943.91,17.83,17.83,9967.33,17.83,17.83,3948.82,17.83,17.83,13916.15,17.83,17.83
Gopalganj,4121.55,13.61,13.61,1602.46,13.61,13.61,299.58,13.61,13.61,6023.59,13.61,13.61,1419.28,13.61,13.61,7442.87,13.61,13.61
Jamui,1572.59,13.46,13.46,1195.49,13.46,13.46,361.56,13.46,13.46,3129.64,13.46,13.46,834.19,13.46,13.46,3963.83,13.46,13.46
Jehanabad,1260.05,9.92,9.92,1284.99,9.92,9.92,218.39,9.92,9.92,2763.43,9.92,9.92,884.57,9.92,9.92,3648.00,9.92,9.92
Kaimur (Bhabua),2833.68,10.41,10.41,1482.82,10.41,10.41,320.53,10.41,10.41,4637.03,10.41,10.41,1036.60,10.41,10.41,5673.63,10.41,10.41
Katihar,2403.56,19.18,19.18,2768.31,19.18,19.18,877.40,19.18,19.18,6049.27,19.18,19.18,1828.66,19.18,19.18,7877.93,19.18,19.18
Khagaria,2067.50,13.84,13.84,1338.97,13.84,13.84,214.19,13.84,13.84,3620.66,13.84,13.84,874.68,13.84,13.84,4495.34,13.84,13.84
Kishanganj,1343.42,17.31,17.31,1363.51,17.31,17.31,659.33,17.31,17.31,3366.26,17.31,17.31,897.51,17.31,17.31,4263.77,17.31,17.31
Lakhisarai,1327.89,10.83,10.83,1068.19,10.83,10.83,140.45,10.83,10.83,2536.53,10.83,10.83,624.08,10.83,10.83,3160.61,10.83,10.83
Madhepura,1836.71,12.10,12.10,1476.00,12.10,12.10,747.48,12.10,12.10,4060.19,12.10,12.10,1216.09,12.10,12.10,5276.28,12.10,12.10
Madhubani,3989.84,11.86,11.86,3015.37,11.86,11.86,703.47,11.86,11.86,7708.68,11.86,11.86,2110.60,11.86,11.86,9819.28,11.86,11.86
Munger,1721.64,10.10,10.10,1641.70,10.10,10.10,361.05,10.10,10.10,3724.39,10.10,10.10,1177.10,10.10,10.10,4901.49,10.10,10.10
