district,1_agriculture_total_0_s,total_npa,age,2_msme_total_0_s,total_npa,age,3_ops_total_0_s,total_npa,age,4_total_priority_sector_total_0_s,total_npa,age,5_nps_total_0_s,total_npa,age,6_npa_in_total_advance_total_0_s,total_npa,age
Araria,1612.86,427.58,8.30,1262.86,427.58,8.30,408.74,427.58,8.30,3284.47,427.58,8.30,1866,427.58,8.30,5149.99,427.58,8.30
Arwal,381.52,210.7,21.16,198.38,210.7,21.16,68.35,210.7,21.16,648.24,210.7,21.16,347,210.7,21.16,995.73,210.7,21.16
Aurangabad,1645.23,744.56,12.94,989.71,744.56,12.94,322.79,744.56,12.94,2957.73,744.56,12.94,2795,744.56,12.94,5752.72,744.56,12.94
Banka,1046.69,467.96,17.77,515.8,467.96,17.77,209.43,467.96,17.77,1771.92,467.96,17.77,862,467.96,17.77,2633.93,467.96,17.77
Begusarai,2831.23,687.77,7.80,2327.43,687.77,7.80,477.34,687.77,7.80,5636,687.77,7.80,3184,687.77,7.80,8819.5,687.77,7.80
Bhagalpur,1761.65,594.58,6.63,2292.13,594.58,6.63,683.26,594.58,6.63,4737.05,594.58,6.63,4229,594.58,6.63,8965.82,594.58,6.63
Bhojpur,1662.7,601.44,11.12,1067.56,601.44,11.12,379.57,601.44,11.12,3109.83,601.44,11.12,2299,601.44,11.12,5408.91,601.44,11.12
Buxar,1197.17,651.39,19.44,642.02,651.39,19.44,242.7,651.39,19.44,2081.88,651.39,19.44,1269,651.39,19.44,3351.37,651.39,19.44
Darbhanga,1877.07,334.2,4.18,1976.42,334.2,4.18,562.77,334.2,4.18,4416.26,334.2,4.18,3572,334.2,4.18,7988.4,334.2,4.18
Gaya,3756.64,1229.32,10.64,2489.46,1229.32,10.64,768.14,1229.32,10.64,7014.24,1229.32,10.64,4544,1229.32,10.64,11557.81,1229.32,10.64
Gopalganj,1946.89,437.4,9.01,1098.95,437.4,9.01,282.15,437.4,9.01,3327.98,437.4,9.01,1529,437.4,9.01,4856.84,437.4,9.01
Jamui,1084.29,549.33,19.50,448.21,549.33,19.50,215.88,549.33,19.50,1748.38,549.33,19.50,1069,549.33,19.50,2816.97,549.33,19.50
Jehanabad,598.86,311.43,16.30,396.23,311.43,16.30,123.11,311.43,16.30,1118.21,311.43,16.30,792,311.43,16.30,1910.03,311.43,16.30
Kaimur (Bhabua),1244.4,607.58,21.61,465.58,607.58,21.61,177.1,607.58,21.61,1887.07,607.58,21.61,924,607.58,21.61,2811.51,607.58,21.61
Katihar,2301.87,455.34,7.12,1334.23,455.34,7.12,436.74,455.34,7.12,4072.84,455.34,7.12,2319,455.34,7.12,6391.48,455.34,7.12
Khagaria,1258.39,378.59,12.81,545.4,378.59,12.81,154.56,378.59,12.81,1958.35,378.59,12.81,998,378.59,12.81,2956.44,378.59,12.81
Kishanganj,1149.04,293.31,8.90,643.98,293.31,8.90,296.46,293.31,8.90,2089.48,293.31,8.90,1208,293.31,8.90,3297.36,293.31,8.90
Lakhisarai,641.87,313.54,17.54,299.8,313.54,17.54,123.69,313.54,17.54,1065.36,313.54,17.54,722,313.54,17.54,1787.45,313.54,17.54
Madhepura,1219.66,325.21,9.89,680.93,325.21,9.89,168.69,325.21,9.89,2069.27,325.21,9.89,1219,325.21,9.89,3288.68,325.21,9.89
Madhubani,1748.88,401.76,6.52,1662.82,401.76,6.52,388.7,401.76,6.52,3800.4,401.76,6.52,2363,401.76,6.52,6163.64,401.76,6.52
Munger,616.6,348.5,11.69,537.61,348.5,11.69,234.24,348.5,11.69,1388.44,348.5,11.69,1593,348.5,11.69,2981.16,348.5,11.69
Muzaffarpur,4183.81,972.39,5.44,4043.27,972.39,5.44,1251.64,972.39,5.44,9478.73,972.39,5.44,8394,972.39,5.44,17872.76,972.39,5.44
Nalanda,1822.22,821.78,14.47,1255.95,821.78,14.47,410.74,821.78,14.47,3488.92,821.78,14.47,2191,821.78,14.47,5680.4,821.78,14.47
Nawada,1261.52,553.9,15.70,745.62,553.9,15.70,288.31,553.9,15.70,2295.44,553.9,15.70,1233,553.9,15.70,3528.84,553.9,15.70
Pashchim Champaran,2281.47,618.27,9.11,1590.83,618.27,9.11,521.65,618.27,9.11,4393.94,618.27,9.11,2391,618.27,9.11,6784.44,618.27,9.11
Patna,8814.31,2804.4,3.42,15548.77,2804.4,3.42,4940.7,2804.4,3.42,29303.78,2804.4,3.42,52753,2804.4,3.42,82056.77,2804.4,3.42
Purbi Champaran,3820.8,927.26,9.06,2217.49,927.26,9.06,649.36,927.26,9.06,6687.65,927.26,9.06,3545,927.26,9.06,10232.47,927.26,9.06
Purnia,2650.19,676.04,7.56,2490.07,676.04,7.56,615.09,676.04,7.56,5755.35,676.04,7.56,3189,676.04,7.56,8943.91,676.04,7.56
Rohtas,2002.68,1157.08,18.65,1481.48,1157.08,18.65,420.31,1157.08,18.65,3904.48,1157.08,18.65,2298,1157.08,18.65,6202.68,1157.08,18.65
Saharsa,1185.41,335.79,9.42,861.63,335.79,9.42,165.7,335.79,9.42,2212.74,335.79,9.42,1354,335.79,9.42,3566.36,335.79,9.42
Samastipur,3157.27,940.5,10.86,1811.62,940.5,10.86,543.5,940.5,10.86,5512.39,940.5,10.86,3146,940.5,10.86,8658.68,940.5,10.86
Saran,2282.28,648.46,9.14,1519.75,648.46,9.14,503.15,648.46,9.14,4305.19,648.46,9.14,2787,648.46,9.14,7091.73,648.46,9.14
Sheikhpura,422.42,180.9,14.28,265.51,180.9,14.28,92.76,180.9,14.28,780.69,180.9,14.28,487,180.9,14.28,1267.24,180.9,14.28
Sheohar,419.12,117.1,12.24,177.67,117.1,12.24,45.52,117.1,12.24,642.31,117.1,12.24,314,117.1,12.24,956.74,117.1,12.24
Sitamarhi,1578.02,503.86,10.16,1272.15,503.86,10.16,290.98,503.86,10.16,3141.15,503.86,10.16,1820,503.86,10.16,4961.47,503.86,10.16
Siwan,3239.18,501.36,6.80,1522.33,501.36,6.80,552.25,501.36,6.80,5313.76,501.36,6.80,2061,501.36,6.80,7374.83,501.36,6.80
Supaul,1154.23,392.53,11.55,686,392.53,11.55,171.03,392.53,11.55,2011.26,392.53,11.55,1388,392.53,11.55,3399.66,392.53,11.55
Vaishali,5420.12,671.97,6.38,1648.3,671.97,6.38,502.46,671.97,6.38,7570.89,671.97,6.38,2953,671.97,6.38,10524.38,671.97,6.38
