district,msme_medium_target,msme_medium_disbursed_no,msme_medium_disbursed_amt,msme_medium_pct
Araria,10467,114.99,81935,595.15
Arwal,1901,11.8,12662,52.69
Aurangabad,9107,73.3,61363,334.24
Banka,9041,72.65,47753,291.53
Begusarai,25437,259.05,164197,1066.82
Bhagalpur,14352,120.34,106557,549.13
Bhojpur,7086,48.39,49226,212.18
Buxar,5633,42.58,41053,197.48
Darbhanga,40776,287.79,299516,1292.81
Gaya,16882,142.5,106537,601.75
Gopalganj,17317,123.09,139525,592.56
Jamui,6940,67.35,40989,272.13
Jehanabad,1657,18.4,18437,97.97
Kaimur (Bhabua),7355,54.67,37468,216.55
Katihar,25377,186.17,174923,857.21
Khagaria,6903,75.78,52689,381.31
Kishanganj,4488,64.53,28960,278.2
Lakhisarai,3674,27.4,22226,118.13
Madhepura,7794,87.76,64508,512.61
Madhubani,18135,198.1,132882,937.04
Munger,5260,48.83,26731,184.52
Muzaffarpur,31227,347.9,257602,1790.94
Nalanda,7390,55.16,68020,256.88
Nawada,7411,67.22,40980,259.6
Pashchim Champaran,17688,141.27,146113,731.7
Patna,64980,699.12,534352,3680.29
Purbi Champaran,38112,260.88,253073,1149.36
Purnia,11863,113.01,109261,757.9
Rohtas,11810,109.81,75566,500.49
Saharsa,6279,74.52,52137,409.7
Samastipur,22411,253.76,171404,1129.5
Saran,33417,211.23,220990,910.07
Sheikhpura,2558,17.11,16296,72.18
Sheohar,1259,17.61,13210,96.13
Sitamarhi,9225,117.99,68339,563.97
Siwan,14929,130.11,123952,671.23
Supaul,2921,29.08,24918,187.24
Vaishali,15162,190.24,112534,884.5
