District,onr B,Total Priority Sector Targetfor 2016-17,Achiv 2016-17,%,Non Priority Sector Targetfor 2016-17
Aizawl,98,50541.00,31333.24,102.06,30700.00
Serchhip,15,2315.00,1342.65,150.86,890.00
Champhai,21,4290.00,2368.01,112.49,2105.00
Kolasib,16,4168.31,2085.55,272.98,764.00
Mamit,10,2901.42,693.89,71.54,970.00
Lunglei,21,3170.00,4878.70,487.30,1020.00
Lawngtlai,12,2518.00,2183.79,363.97,600.00
Saiha,7,2586.00,2065.53,258.19,800.00
