District,Nameof Sch. Comm. Bankselectedforallotmentofvillageswith < 2000 population,No. ofallotedvillages,"Outof Roadmappreparedforlessthan 2000, No. ofvillageswherebankingoutletopeneduptotheendofthereporting Quarter"
Aizawl,SBI,2,0
Champhai,SBI,26,0
Kolasib,SBI,7,0
Lawngtlai,SBI,60,0
Lunglei,SBI,43,0
Mamit,SBI,25,0
Saiha,SBI,11,0
Serchhip,SBI,5,1
