District,FLC Code,S.Noofcamp,Dateofcamp,Block,Village,Noofparticipants,Stakeholderspresent (Indicate Y/N),Ddm,Ldo,Local Govt,Ngo,BC,Others
Aizawl,03001,0,N/A,N/A,N/A,0,X,X,X,X,X,X,X
Champhai,03101,1,04.02.2017,CHAMPHAI,KHUANGPHAH,60,Y,N,N,Y,Y,N,Y
Kolasib,89601,0,0,N/A,N/A,0,,,,,,,
Lawngtlai,89801,0,0,N/A,N/A,0,,,,,,,
Lunglei,03201,0,0,N/A,N/A,0,,,,,,,
Mamit,03301,0,0,N/A,N/A,0,,,,,,,
Serchhip,89701,6,28.03.2017,SERCHHIP,"1) Vengchung, 2) Darnam Veng, 3) P&E Veng, 4Venglai, 5) New serchhip, 6) Bazar veng",861,Y,N,N,Y,Y,Y,Y
Saiha,03401,0,0,N/A,N/A,0,,,,,,,
