District,During the Quarter Savings Linked,Target No.,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Anjaw,33,3,1,33,1,1,0,0
Changlang,721,5,3,726,6,50,54,60.83
Dibang Valley,13,2,0,15,0,0,0,0
East Kameng,161,136,0,172,61,51,0,0
East Siang,40,178,9,64,23,19,7,12.3
Kamle,10,21,0,10,0,0,0,0
Kra Daadi,130,64,3,130,17,43,1,3.43
Kurung Kumey,49,8,3,127,5,7,0,0
Lepa Rada,63,34,7,120,61,72,1,0.11
Lohit,87,1,15,126,42,20,4,4.63
Longding,137,109,0,137,0,35,37,117.11
Lower Dibang Valley,34,177,19,79,43,44,1,1.71
Lower Siang,19,152,10,22,13,13,0,0
Lower Subansiri,77,11,66,192,198,211,11,25.75
Namsai,36,137,14,93,54,64,2,1.39
Pakke Kessang,65,4,1,65,1,2,1,2.64
Papum Pare,56,98,25,162,130,238,58,15.98
Shi Yomi,4,18,0,22,0,18,0,0
Siang,93,5,28,106,41,43,0,0
Tawang,106,74,14,154,15,16,0,0
Tirap,580,75,0,580,2,9,3,4.03
Upper Siang,15,39,0,23,5,84,0,0
Upper Subansiri,100,161,34,144,70,93,6,3.23
West Kameng,150,142,15,183,40,74,24,8.78
West Siang,51,152,25,125,93,134,29,18.02
