District,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,5,0,0,0
Changlang,15,11,14,0,0,0
Dibang Valley,8,0,0,0,0,0
East Kameng,49,80,0,0,0,0
East Siang,90,79,23,10,7,7
Kamle,0,0,1,0,0,0
Kra Daadi,7,23,3,0,0,0
Kurung Kumey,17,0,0,0,0,0
Lepa Rada,46,13,62,0,0,0
Lohit,32,6,6,28,12,13
Longding,1,0,3,0,0,0
Lower Dibang Valley,8,2,3,0,0,0
Lower Siang,45,26,82,0,0,0
Lower Subansiri,85,34,23,0,0,1
Namsai,32,5,14,7,6,6
Pakke Kessang,19,1,21,1,0,1
Papum Pare,692,807,408,37,25,32
Shi Yomi,1,1,3,0,0,0
Siang,3,0,2,0,0,0
Tawang,13,5,13,0,0,2
Tirap,18,0,7,0,0,0
Upper Siang,6,0,2,0,0,0
Upper Subansiri,84,88,15,0,0,0
West Kameng,56,23,49,0,0,0
West Siang,96,69,0,5,0,7
