district,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,2,0.66,3,4.35,2,8.84,7,13.85
Changlang,139,23.82,40,52.73,10,37.68,189,114.23
Dibang Valley,1,0.1,2,2.1,2,0.1,5,2.3
East Kameng,121,68.03,33,30.3,51,128.33,205,226.66
East Siang,110,30.34,100,208.05,37,303.53,247,541.92
Kamle,1,0.5,6,6.79,14,36.93,21,44.22
Kra Daadi,245,33.2,21,8.36,25,52.66,291,94.22
Kurung Kumey,1,0.5,37,6.07,21,37.95,59,44.52
Lepa Rada,2,0.67,41,47.01,10,40.77,53,88.45
Lohit,90,12.12,62,80.23,21,130.29,173,222.64
Longding,6,0.3,10,10.69,8,24.91,24,35.9
Lower Dibang Valley,45,7.78,62,130.25,16,117.61,123,255.64
Lower Siang,10,0.54,6,5.74,10,69.12,26,75.4
Lower Subansiri,29,105.32,83,178.71,73,347.48,185,631.51
Namsai,69,13.8,56,129.43,14,57.18,139,200.41
Pakke Kessang,18,8.56,6,4.91,4,30.47,28,43.94
Papum Pare,594,182.87,385,653.88,249,1372.89,1228,2209.64
Shi Yomi,0,0,1,3,5,18.65,6,21.65
Siang,5,0.9,20,20.84,3,13.53,28,35.27
Tawang,36,11.75,78,165.3,42,213.75,156,390.8
Tirap,10,1.31,12,15.71,11,40.78,33,57.8
Upper Siang,57,7.92,48,44.04,6,15.04,111,67
Upper Subansiri,46,9.36,74,69.82,32,164.84,152,244.02
West Kameng,110,36.78,110,210.23,71,506.18,291,753.19
West Siang,138,20.13,51,119.97,35,202.11,224,342.21
