district,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Total Sector,Loans to weaker No,Loans to weaker Amt
Anjaw,0,0,1,0,0,0,1,127,177.18
Changlang,0,3,3,0,0,0,6,313,319.28
Dibang Valley,0,0,0,0,0,0,0,113,227.65
East Kameng,0,2,8,0,0,0,10,69,80.77
East Siang,0,11,22,0,0,0,33,1195,1565.49
Kamle,0,0,1,0,0,0,1,91,99.62
Kra Daadi,0,1,0,0,0,0,1,259,311.52
Kurung Kumey,0,0,3,0,0,0,3,118,98.86
Lepa Rada,0,0,8,0,0,0,8,218,278.88
Lohit,0,8,11,0,0,0,19,972,945
Longding,0,3,0,0,0,0,3,305,615.17
Lower Dibang Valley,0,1,0,0,0,0,1,284,453.12
Lower Siang,0,4,6,0,0,0,10,243,379.66
Lower Subansiri,0,9,12,0,0,0,21,700,1386.78
Namsai,0,2,12,0,0,0,14,831,870.48
Pakke Kessang,0,0,0,0,0,0,0,121,183.48
Papum Pare,0,57,144,0,0,62,263,3969,15956.27
Shi Yomi,0,1,0,0,0,0,1,9,71.03
Siang,0,0,2,0,0,0,2,237,323.72
Tawang,0,3,4,0,0,0,7,366,1198.13
Tirap,0,1,5,0,0,0,6,460,390.21
Upper Siang,0,0,0,0,0,0,0,230,201.75
Upper Subansiri,0,6,7,0,0,0,13,498,501.11
West Kameng,0,10,9,0,0,0,19,596,2026.29
West Siang,0,3,33,0,0,0,36,462,898.3
