district,Target,Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Amt. %
Anjaw,2,0,0,0,0,0
Changlang,0,0,0,0,0,0
Dibang Valley,2,0,0,0,0,0
East Kameng,132,0,0,0,0,0
East Siang,173,14,65,21,14,11.49
Kamle,20,0,0,0,0,0
Kra Daadi,62,13,39,29,1,3.94
Kurung Kumey,7,1,1,1,0,0
Lepa Rada,36,0,0,0,0,0
Lohit,29,26,34,0,0,0
Longding,0,0,0,0,0,0
Lower Dibang Valley,104,0,0,0,0,0
Lower Siang,37,0,0,0,0,0
Lower Subansiri,173,1,1,0,0,0
Namsai,146,20,5,1,0,0
Pakke Kessang,11,0,0,0,0,0
Papum Pare,125,28,302,109,83,35.97
Shi Yomi,4,0,0,0,0,0
Siang,96,0,0,0,0,0
Tawang,15,0,0,0,0,0
Tirap,0,1,1,1,0,0
Upper Siang,71,0,0,0,0,0
Upper Subansiri,71,0,1,1,0,0
West Kameng,36,0,0,0,0,0
West Siang,80,0,18,11,7,32.28
