District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,1332,7800,638,1867,10791,1105,19,3218
Changlang,8270,47685,4049,23234,73209,14910,1844,33348
Dibang Valley,864,3188,712,1144,4173,910,31,2039
East Kameng,1785,25701,787,3059,34463,1448,347,5191
East Siang,11339,124305,5206,27980,156997,14812,2287,41606
Kamle,304,3579,246,469,5130,418,3,776
Kra Daadi,432,4625,241,589,7446,375,13,1034
Kurung Kumey,717,5512,350,958,8085,523,98,1773
Lepa Rada,1475,11915,786,1965,16298,1052,68,3508
Lohit,7716,26557,3686,12205,39414,7166,575,20496
Longding,1256,15519,351,4306,24905,1613,163,5725
Lower Dibang Valley,4217,22468,2439,7713,31065,4392,923,12853
Lower Siang,5598,64021,3061,19345,74801,10942,1623,26566
Lower Subansiri,4894,42431,3177,6849,55519,4800,378,12121
Namsai,8166,25103,4253,19635,38191,13076,1891,29692
Pakke Kessang,117,2603,81,148,3780,102,5,270
Papum Pare,23224,184202,16196,40279,238053,29269,4687,68190
Shi Yomi,195,3283,139,499,4375,256,18,712
Siang,983,12485,520,2002,16785,1207,193,3178
Tawang,5432,32048,4559,7232,41518,6039,439,13103
Tirap,2015,19061,1447,3503,28923,2308,143,5661
Upper Siang,2108,18884,1542,3434,25514,2369,93,5635
Upper Subansiri,4686,41559,3298,7448,54973,4600,253,12387
West Kameng,9319,50388,6804,14191,67513,10774,1310,24820
West Siang,3646,42807,1710,5798,56896,3065,532,9976
