district,Micro TL,Micro WC,Small TL,Small WC,Medium TL,Medium WC,KVIC TL,KVIC WC,Others under MSMEs Ac,Total MSME Disbursement
Anjaw,11,5,1,0,0,0,0,0,0,17
Changlang,62,29,4,0,0,0,0,0,1,96
Dibang Valley,4,2,1,1,0,0,0,0,0,8
East Kameng,129,51,8,4,0,0,0,0,2,194
East Siang,740,50,17,5,0,0,0,0,83,895
Kamle,8,3,3,1,0,0,0,0,2,17
Kra Daadi,29,12,7,5,0,0,0,0,3,56
Kurung Kumey,31,13,13,5,0,0,0,0,10,72
Lepa Rada,8,3,0,0,0,0,0,0,7,18
Lohit,92,42,4,9,0,0,2,0,14,163
Longding,20,8,4,2,0,0,0,0,0,34
Lower Dibang Valley,26,3,5,2,0,0,0,0,9,45
Lower Siang,23,10,9,4,0,0,0,0,29,75
Lower Subansiri,85,25,20,7,1,0,2,0,64,204
Namsai,58,62,0,0,0,0,0,0,15,135
Pakke Kessang,18,8,1,0,0,0,0,0,1,28
Papum Pare,3638,546,198,72,13,6,8,1,241,4723
Shi Yomi,1,1,0,0,0,0,0,0,7,9
Siang,4,2,4,2,0,0,0,0,6,18
Tawang,69,18,23,10,0,0,1,0,10,131
Tirap,24,10,1,1,0,0,0,0,0,36
Upper Siang,19,8,6,3,0,0,0,0,12,48
Upper Subansiri,58,17,13,5,0,0,1,0,67,161
West Kameng,206,68,31,13,1,0,0,0,44,363
West Siang,71,29,3,1,1,0,0,0,41,146
