district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,2,0,0,533,89,624,0
Changlang,1,0,11,2812,917,3741,35
Dibang Valley,5,0,0,452,387,844,52
East Kameng,0,0,80,1785,884,2749,79
East Siang,20,4,81,4773,3800,8678,157
Kamle,4,0,0,139,38,181,4
Kra Daadi,7,0,23,989,1435,2454,65
Kurung Kumey,2,0,0,473,348,823,57
Lepa Rada,3,0,13,1042,522,1580,9
Lohit,3,0,6,2134,930,3073,33
Longding,15,0,0,1335,573,1923,20
Lower Dibang Valley,1,0,2,1449,1695,3147,51
Lower Siang,1,0,26,999,335,1361,3
Lower Subansiri,6,0,35,3014,1461,4516,258
Namsai,15,0,5,1744,731,2495,101
Pakke Kessang,0,0,1,273,115,389,8
Papum Pare,16,15,768,16320,12778,29897,1410
Shi Yomi,0,0,1,148,89,238,28
Siang,3,0,0,381,110,494,1
Tawang,13,0,15,1534,1586,3148,68
Tirap,0,0,1,2248,827,3076,31
Upper Siang,10,0,0,901,424,1335,9
Upper Subansiri,5,0,88,2385,1023,3501,127
West Kameng,5,0,23,3359,1593,4980,56
West Siang,0,2,70,2750,1532,4354,90
