District,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,14,1,8,0,0,0,23
Changlang,646,21,215,7,0,0,889
Dibang Valley,25,4,12,6,0,0,47
East Kameng,333,14,9,1,0,0,357
East Siang,411,50,41,6,0,0,508
Kamle,4,3,0,0,0,0,7
Kra Daadi,139,2,7,8,0,0,156
Kurung Kumey,448,0,6,0,0,0,454
Lepa Rada,61,1,13,0,0,0,75
Lohit,85,17,74,3,0,0,179
Longding,1606,11,13,2,0,0,1632
Lower Dibang Valley,270,7,2,0,0,0,279
Lower Siang,287,15,7,1,0,0,310
Lower Subansiri,896,144,72,1,0,0,1113
Namsai,185,24,1661,3,0,0,1873
Pakke Kessang,86,8,6,1,0,0,101
Papum Pare,5612,424,533,67,0,5,6641
Shi Yomi,78,0,55,0,0,0,133
Siang,12,1,4,0,0,0,17
Tawang,35,16,1468,12,0,0,1531
Tirap,1104,9,30,1,0,0,1144
Upper Siang,116,2,32,0,0,0,150
Upper Subansiri,127,18,4,1,0,1,151
West Kameng,272,45,2378,21,0,0,2716
West Siang,123,22,355,5,0,0,505
