district,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Amt.%
Anjaw,2,7,3,12,9.77
Changlang,187,46,13,246,9.25
Dibang Valley,3,5,3,11,0
East Kameng,149,61,69,279,27.25
East Siang,274,194,73,541,11.17
Kamle,4,29,14,47,56.67
Kra Daadi,256,65,32,353,34.94
Kurung Kumey,6,71,22,99,64.47
Lepa Rada,25,49,12,86,14.58
Lohit,135,132,51,318,7.3
Longding,34,29,11,74,36.81
Lower Dibang Valley,45,32,4,81,0.35
Lower Siang,15,18,13,46,1.48
Lower Subansiri,72,214,121,407,23.43
Namsai,107,86,29,222,2.29
Pakke Kessang,21,18,5,44,6.29
Papum Pare,1248,1115,628,2991,16.09
Shi Yomi,0,7,5,12,51.56
Siang,5,28,5,38,20.17
Tawang,76,202,122,400,10.41
Tirap,20,33,15,68,21.91
Upper Siang,60,71,6,137,11.05
Upper Subansiri,72,195,56,323,27.18
West Kameng,170,336,191,697,3.53
West Siang,305,161,74,540,14.92
