District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Overall CD Ratio
Anjaw,14539.14,0.0,0.0,14539.14,3057.2,0.0,0.0,3057.2,21.03,,21.03
Changlang,75829.84,2640.06,0.0,78469.9,16783.9,772.04,263.72,17819.66,22.13,29.24,22.71
Dibang Valley,39546.45,2481.83,0.0,42028.28,2134.09,1519.25,99.97,3753.31,5.4,61.21,8.93
East Kameng,0.03,30264.92,0.0,30264.95,4.68,15598.73,10.21,15613.62,15600.0,51.54,51.59
East Siang,31322.77,117634.16,0.0,148956.93,7403.19,39658.96,160.15,47222.3,23.64,33.71,31.7
Kamle,3726.61,0.0,0.0,3726.61,1024.69,0.0,0.0,1024.69,27.5,,27.5
Kra Daadi,7887.62,0.0,0.0,7887.62,2834.87,6367.59,2961.05,12163.51,35.94,,154.21
Kurung Kumey,11373.3,3039.69,0.0,14412.99,3671.09,1535.34,0.0,5206.43,32.28,50.51,36.12
Lepa Rada,27252.96,1619.06,0.0,28872.02,8206.89,1377.71,0.0,9584.6,30.11,85.09,33.2
Lohit,8934.17,43194.57,0.0,52128.74,2713.84,13302.71,143.29,16159.84,30.38,30.8,31.0
Longding,21266.41,0.0,0.0,21266.41,10256.4,0.0,0.0,10256.4,48.23,,48.23
Lower Dibang Valley,3100.31,93643.36,0.0,96743.67,290.19,12186.49,73.63,12550.31,9.36,13.01,12.97
Lower Siang,26431.2,0.0,0.0,26431.2,8538.75,0.0,0.0,8538.75,32.31,,32.31
Lower Subansiri,15624.63,60922.22,0.0,76546.85,5693.55,21933.77,7.61,27634.93,36.44,36.0,36.1
Namsai,24300.45,33368.98,0.0,57669.43,7505.32,9542.51,0.0,17047.83,30.89,28.6,29.56
Pakke Kessang,4160.41,0.0,0.0,4160.41,2118.26,0.0,0.0,2118.26,50.91,,50.91
Papum Pare,96843.98,1190239.52,0.0,1287083.5,36781.1,282162.04,43.86,318987.0,37.98,23.71,24.78
Shi Yomi,7638.12,2393.55,0.0,10031.67,959.9,249.24,0.0,1209.14,12.57,10.41,12.05
Siang,12984.06,0.0,0.0,12984.06,2898.45,0.0,0.0,2898.45,22.32,,22.32
Tawang,27951.91,112707.16,0.0,140659.07,4007.24,10183.86,285.01,14476.11,14.34,9.04,10.29
Tirap,39712.76,1698.38,0.0,41411.14,13942.97,1090.97,16.87,15050.81,35.11,64.24,36.34
Upper Siang,34182.24,2247.96,0.0,36430.2,5644.81,675.86,0.42,6321.09,16.51,30.07,17.35
Upper Subansiri,16280.17,38107.92,0.0,54388.09,4034.02,19715.55,902.1,24651.67,24.78,51.74,45.33
West Kameng,123196.58,323.6,0.0,123520.18,28091.04,1287.73,263.71,29642.48,22.8,397.94,24.0
West Siang,7835.28,66416.92,0.0,74252.2,1376.93,26174.92,79.87,27631.72,17.57,39.41,37.21
