district,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Anjaw,0,2534,2534,3970,13
Changlang,0,42519,41054,54053,57
Dibang Valley,0,432,402,4011,38
East Kameng,5,12328,11377,30727,21
East Siang,1,39716,36011,42777,723
Kamle,0,784,784,2287,6
Kra Daadi,0,2877,2877,3427,30
Kurung Kumey,0,2788,1813,21991,55
Lepa Rada,0,3213,2728,11199,119
Lohit,0,12748,11534,23212,257
Longding,0,11078,11078,8422,22
Lower Dibang Valley,0,7663,7645,25776,214
Lower Siang,0,14856,14856,4726,114
Lower Subansiri,5,9606,8596,25737,681
Namsai,0,20298,18562,36008,409
Pakke Kessang,0,527,527,2143,6
Papum Pare,5,50817,41259,136534,4167
Shi Yomi,0,1816,1532,5752,0
Siang,0,3906,3906,2844,26
Tawang,0,5035,2856,22695,50
Tirap,0,14052,12660,24449,51
Upper Siang,1,2720,2472,22316,43
Upper Subansiri,6,17455,13950,30580,213
West Kameng,2,12409,10931,35317,198
West Siang,4,11995,8599,27047,141
