District,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,0,192437,0,2,1,24183
Changlang,0,2407365,0,65,8345,300779
Dibang Valley,0,91872,0,1,3862,13946
East Kameng,1156,615799,0,459,26177,84486
East Siang,124644865,2463064,1098,12642874,70097,367415
Kamle,0,116508,0,0,0,15204
Kra Daadi,0,197214,0,0,39,25784
Kurung Kumey,0,126989,0,0,24500,21460
Lepa Rada,0,519479,1,3,4990,61849
Lohit,1587,1076598,11,1106,5870,141030
Longding,0,719518,0,0,153,58321
Lower Dibang Valley,87624226,815077,11,10048975,40189,130916
Lower Siang,3,604742,0,117,22,71310
Lower Subansiri,95763,1438282,1,29264,23959,239449
Namsai,184,1202881,1143,889,9387,176318
Pakke Kessang,0,154826,0,0,36,22035
Papum Pare,334634642,7697085,7255,50324945,399708,1772794
Shi Yomi,0,72898,0,0,3358,12888
Siang,0,246585,0,0,5,28019
Tawang,70422851,698933,482,6293133,39712,119602
Tirap,0,1068391,0,12,2055,149616
Upper Siang,0,419615,0,4,12098,50962
Upper Subansiri,655,854117,0,357,19357,111522
West Kameng,85384,1901361,472,20050,28369,337130
West Siang,89934,1281459,218,26095,32925,195947
