District,Micro No.,Small No.,Medium No.,Other Msme No.,Msme Total No.
Anjaw,18,2,0,0,20
Changlang,218,4,0,1,223
Dibang Valley,11,7,0,0,18
East Kameng,279,15,0,6,300
East Siang,2364,114,57,211,2746
Kamle,0,0,0,2,2
Kra Daadi,319,18,0,3,340
Kurung Kumey,77,22,0,10,109
Lepa Rada,34,0,0,39,73
Lohit,313,22,0,27,362
Longding,50,7,0,0,57
Lower Dibang Valley,259,30,0,27,316
Lower Siang,59,17,0,85,161
Lower Subansiri,437,71,2,158,668
Namsai,316,39,0,30,385
Pakke Kessang,45,2,0,1,48
Papum Pare,10573,1447,536,741,13297
Shi Yomi,0,0,0,7,7
Siang,22,6,0,14,42
Tawang,375,110,1,16,502
Tirap,76,13,0,1,90
Upper Siang,63,15,0,38,116
Upper Subansiri,277,41,0,169,487
West Kameng,810,82,1,68,961
West Siang,580,32,1,87,700
