District,Crop Loan,Forestry and Wasteland Dev,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,109,0,0,0,0,0,0,1,0,0,110
Changlang,252,0,0,0,6,0,0,33,0,0,291
Dibang Valley,129,0,0,0,6,0,0,0,0,0,135
East Kameng,26,0,0,0,126,0,0,0,0,1,153
East Siang,485,0,0,0,50,1,0,42,6,70,654
Kamle,48,0,0,0,0,0,0,31,0,1,80
Kra Daadi,159,0,0,1,0,0,0,39,0,1,200
Kurung Kumey,60,0,0,0,76,0,0,28,0,0,164
Lepa Rada,99,0,0,0,40,0,0,39,0,0,178
Lohit,874,0,0,1,2,0,0,25,0,0,902
Longding,282,0,0,0,0,0,0,2,0,0,284
Lower Dibang Valley,244,1,0,0,48,0,0,24,0,0,317
Lower Siang,178,0,0,0,30,0,0,0,0,0,208
Lower Subansiri,327,0,0,0,141,0,2,76,0,2,548
Namsai,721,0,0,0,12,0,0,39,0,0,772
Pakke Kessang,103,0,0,0,0,0,0,11,0,0,114
Papum Pare,729,0,0,0,164,6,0,115,8,72,1094
Shi Yomi,0,0,0,0,53,0,0,0,0,0,53
Siang,101,0,0,0,57,0,0,30,0,0,188
Tawang,176,0,0,0,1,0,0,117,0,3,297
Tirap,429,0,0,0,11,0,0,0,0,0,440
Upper Siang,83,0,0,0,14,0,0,97,0,0,194
Upper Subansiri,341,0,0,0,62,3,0,51,0,1,458
West Kameng,411,0,0,1,5,0,0,53,0,1,471
West Siang,156,0,0,0,92,0,0,72,7,0,327
