district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,194,2,0,0,196
Changlang,861,487,0,0,1348
Dibang Valley,156,72,0,0,228
East Kameng,43,1657,0,1,1701
East Siang,1170,1065,0,44,2279
Kamle,0,32,0,1,33
Kra Daadi,298,40,0,1,339
Kurung Kumey,131,379,0,0,510
Lepa Rada,395,653,0,0,1048
Lohit,1783,486,0,0,2269
Longding,523,43,0,0,566
Lower Dibang Valley,684,306,0,5,995
Lower Siang,277,76,0,0,353
Lower Subansiri,1123,1998,1,2,3124
Namsai,1263,620,0,65,1948
Pakke Kessang,257,12,0,0,269
Papum Pare,6290,3022,81,31,9424
Shi Yomi,1,112,0,0,113
Siang,142,121,0,0,263
Tawang,324,201,0,6,531
Tirap,633,1314,0,0,1947
Upper Siang,267,272,0,0,539
Upper Subansiri,746,973,0,4,1723
West Kameng,733,968,1,5,1707
West Siang,762,489,8,2,1261
