District,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,BC Total,BC Fixed,BC Other
Anjaw,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0
Changlang,11.0,0.0,0.0,11.0,7.0,3.0,0.0,10.0,53.0,47.0,6.0
Dibang Valley,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,25.0,1.0,0.0
East Kameng,0.0,9.0,0.0,9.0,0.0,5.0,0.0,5.0,25.0,10.0,8.0
East Siang,1.0,15.0,0.0,16.0,5.0,11.0,0.0,16.0,86.0,65.0,14.0
Kamle,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
Kra Daadi,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,33.0,4.0,1.0
Kurung Kumey,1.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,6.0,3.0,3.0
Lepa Rada,1.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,4.0,3.0,1.0
Lohit,1.0,9.0,0.0,10.0,3.0,4.0,0.0,7.0,18.0,9.0,1.0
Longding,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,8.0,7.0,1.0
Lower Dibang Valley,0.0,7.0,0.0,7.0,2.0,5.0,0.0,7.0,64.0,50.0,9.0
Lower Siang,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,32.0,17.0,15.0
Lower Subansiri,2.0,9.0,0.0,11.0,5.0,9.0,0.0,14.0,28.0,25.0,3.0
Namsai,2.0,2.0,0.0,4.0,4.0,5.0,0.0,9.0,39.0,25.0,7.0
Pakke Kessang,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
Papum Pare,9.0,108.0,0.0,117.0,14.0,47.0,0.0,61.0,96.0,85.0,6.0
Shi Yomi,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0
Siang,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,21.0,21.0,0.0
Tawang,3.0,13.0,0.0,16.0,3.0,7.0,0.0,10.0,9.0,13.0,1.0
Tirap,4.0,0.0,0.0,4.0,3.0,2.0,0.0,5.0,26.0,14.0,0.0
Upper Siang,3.0,0.0,0.0,3.0,4.0,3.0,0.0,7.0,8.0,3.0,4.0
Upper Subansiri,1.0,5.0,0.0,6.0,7.0,2.0,0.0,9.0,21.0,13.0,1.0
West Kameng,29.0,1.0,0.0,30.0,15.0,1.0,0.0,16.0,28.0,22.0,1.0
West Siang,0.0,12.0,0.0,12.0,3.0,6.0,0.0,9.0,28.0,23.0,5.0
