District,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,217,739.37,101,455.4
Changlang,1113,3846.94,499,2071.96
Dibang Valley,291,1125.95,146,710.44
East Kameng,823,3644.99,319,1325.9
East Siang,4652,13376.03,1694,6152.02
Kamle,87,225.44,47,155.45
Kra Daadi,892,4141.66,660,2180.19
Kurung Kumey,475,1412.17,171,530.36
Lepa Rada,555,1984.36,177,1017
Lohit,1788,4196.45,780,2089.51
Longding,482,1587.36,284,974.49
Lower Dibang Valley,1104,4516.88,391,1579.7
Lower Siang,274,1225.29,135,725.3
Lower Subansiri,1854,6660.89,627,2932.79
Namsai,1313,4083.72,653,2089.45
Pakke Kessang,181,435.75,65,189.22
Papum Pare,18158,64043.67,6469,27692.36
Shi Yomi,91,308.34,28,110.88
Siang,144,655.74,88,386.14
Tawang,706,2735.31,284,1265.18
Tirap,988,3161.73,419,1543.78
Upper Siang,427,1386.37,187,840.53
Upper Subansiri,1295,5581.92,563,2693.42
West Kameng,1625,5960.61,739,3389.2
West Siang,1679,6747.55,572,2870.84
