District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No.,Agri Total
Anjaw,69,0,0,0,69
Changlang,383,373,0,0,756
Dibang Valley,8,14,0,0,22
East Kameng,8,1409,0,0,1417
East Siang,116,678,6,2,802
Kamle,30,1,0,0,31
Kra Daadi,44,0,0,0,44
Kurung Kumey,5,28,0,0,33
Lepa Rada,29,477,0,0,506
Lohit,1089,328,0,1,1418
Longding,122,41,0,0,163
Lower Dibang Valley,208,136,0,0,344
Lower Siang,0,4,0,0,4
Lower Subansiri,229,771,0,0,1000
Namsai,340,203,0,0,543
Pakke Kessang,121,1,0,0,122
Papum Pare,3801,1464,13,11,5289
Shi Yomi,0,0,0,0,0
Siang,3,1,0,0,4
Tawang,1,17,0,0,18
Tirap,159,1205,0,0,1364
Upper Siang,0,65,0,0,65
Upper Subansiri,34,686,0,0,720
West Kameng,92,619,0,0,711
West Siang,361,197,0,1,559
