District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,OPS
Anjaw,0,0,1,0,0,0,1
Changlang,0,16,19,0,0,24,59
Dibang Valley,0,0,8,0,0,3,11
East Kameng,0,1,49,0,0,81,131
East Siang,0,30,106,0,0,429,565
Kamle,0,0,0,0,0,0,0
Kra Daadi,0,1,7,0,0,0,8
Kurung Kumey,0,0,17,0,0,17,34
Lepa Rada,0,0,46,0,0,13,59
Lohit,0,12,20,0,0,36,68
Longding,0,8,1,0,0,0,9
Lower Dibang Valley,0,6,8,0,0,21,35
Lower Siang,0,5,45,0,0,0,50
Lower Subansiri,0,19,85,0,0,73,177
Namsai,0,9,28,0,0,50,87
Pakke Kessang,0,1,19,0,0,0,20
Papum Pare,0,212,767,1,0,791,1771
Shi Yomi,0,2,1,0,0,26,29
Siang,0,0,3,0,0,1,4
Tawang,0,3,17,0,0,40,60
Tirap,0,8,18,0,0,10,36
Upper Siang,0,3,6,0,0,98,107
Upper Subansiri,0,15,84,0,0,76,175
West Kameng,0,15,58,0,0,20,93
West Siang,0,13,97,0,0,101,211
