District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Anjaw,1871,0,828,1043,1871,66,204.12,1769,1484,729
Changlang,46230,0,20693,25532,46225,2998,1525.34,47145,36551,13232
Dibang Valley,521,0,264,257,521,36,317.09,407,202,292
East Kameng,3895,10919,6713,8097,14810,1416,649.29,11449,10153,3839
East Siang,30947,21673,24406,29839,54245,5865,2654.27,54693,36050,16583
Kamle,1421,0,525,896,1421,12,101.5,1341,397,288
Kra Daadi,2941,0,1097,1842,2939,22,163.63,3822,1911,740
Kurung Kumey,3887,0,1446,2438,3884,565,291.93,4141,2226,1631
Lepa Rada,3104,0,1231,1870,3101,327,233.61,2801,2084,900
Lohit,6793,7906,6182,8515,14697,4094,637.05,14282,9830,7357
Longding,11013,0,3810,7202,11012,424,471.55,11137,8095,4316
Lower Dibang Valley,2258,11406,6212,7452,13664,964,698.87,13810,6193,6301
Lower Siang,21421,0,9886,11532,21418,861,598.62,16934,13733,2172
Lower Subansiri,5255,6331,5614,7229,12843,436,1015.53,13184,7265,4411
Namsai,10235,15490,11798,13925,25723,3335,1043.58,24827,18029,15768
Pakke Kessang,370,0,188,182,370,16,18.44,264,64,145
Papum Pare,25895,30873,26894,34582,61476,7720,11756.69,61789,40110,28608
Shi Yomi,1643,0,765,876,1641,136,276.91,2149,1283,769
Siang,4878,0,2597,2279,4876,123,393.55,3855,3428,1421
Tawang,2572,1185,1875,2800,4675,371,516.08,4493,2956,2787
Tirap,15560,0,6677,8879,15556,611,860.85,16769,11280,7568
Upper Siang,4396,0,1874,2522,4396,221,392.8,2330,1977,2947
Upper Subansiri,7603,13574,9352,11811,21163,2296,1768.41,21938,14002,8345
West Kameng,15367,0,7012,8352,15364,873,1165.92,15025,9078,5618
West Siang,4129,8932,7166,8460,15626,1533,1248.79,15157,9539,7309
