District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Anjaw,3,26,13,62.69,278,1172.51,605,2133.38
Changlang,66,257.6,222,597.99,1023,4417.13,2829,8977.54
Dibang Valley,4,20.4,11,60.59,227,1051.59,706,2503.04
East Kameng,14,38.98,26,107.92,636,2752.1,3230,8280.57
East Siang,59,121.67,166,449.45,2570,13859.89,8198,34453.02
Kamle,4,5.1,8,13.09,131,396.99,189,627.99
Kra Daadi,13,36.68,32,226.12,726,2124.42,1284,5972.12
Kurung Kumey,6,40.04,7,52.55,205,517.37,963,2617.69
Lepa Rada,2,11.6,8,27.12,715,4261.4,2628,8955.29
Lohit,29,119.27,60,223.75,1612,4871.04,4295,10958.22
Longding,11,87.06,19,113.71,144,774.49,238,1285.62
Lower Dibang Valley,49,187.22,135,317.12,659,2692.83,2299,6588.49
Lower Siang,19,100.86,49,206.96,359,1970.12,949,3700.79
Lower Subansiri,24,127.43,99,402.34,1387,7562.06,6495,19425.62
Namsai,49,200.05,118,360.44,1291,4627.44,3010,10440.16
Pakke Kessang,11,54.51,20,84.14,172,581.04,403,1113.21
Papum Pare,239,1176.67,730,2621.69,8269,63332.74,29111,178427.16
Shi Yomi,2,14,3,21.7,100,368.75,381,1100.35
Siang,9,72.73,12,74.2,441,1534.12,728,2593.6
Tawang,21,111.72,51,173.98,796,4105.85,2197,8984.48
Tirap,14,42.95,36,135.66,739,2999.5,2871,6942.67
Upper Siang,9,79.85,30,156.22,490,2082.31,1522,4528.68
Upper Subansiri,19,74.7,55,199.39,1409,7343.64,4740,17921.62
West Kameng,46,221.66,103,393.07,1428,7514.91,4634,16155.63
West Siang,25,167.04,56,279.25,2103,11501.12,5636,24660.47
