district,NRLM OS,NRLM Irregular,NRLM NPA,NULM OS,NULM NPA,PMEGP OS,PMEGP NPA,SHG OS,SHG NPA,SUI OS,SUI NPA
Anjaw,0,0,0,0,0,3,1,1,0,0,0
Changlang,0,0,0,0,0,17,9,50,54,10,5
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,0,0,0,4,0,18,8,51,0,4,0
East Siang,65,21,14,0,0,42,16,19,7,3,0
Kamle,0,0,0,0,0,0,0,0,0,0,0
Kra Daadi,39,29,1,0,0,26,14,43,1,0,0
Kurung Kumey,1,1,0,0,0,57,40,7,0,3,0
Lepa Rada,0,0,0,0,0,15,6,72,1,0,0
Lohit,34,0,0,0,0,20,0,20,4,2,0
Longding,0,0,0,0,0,3,1,35,37,2,0
Lower Dibang Valley,0,0,0,0,0,2,0,44,1,1,0
Lower Siang,0,0,0,0,0,7,0,13,0,1,0
Lower Subansiri,1,0,0,0,0,130,56,211,11,3,0
Namsai,5,1,0,0,0,23,5,64,2,4,0
Pakke Kessang,0,0,0,0,0,1,0,2,1,1,0
Papum Pare,302,109,83,22,2,329,121,238,58,195,4
Shi Yomi,0,0,0,0,0,0,0,18,0,5,0
Siang,0,0,0,0,0,18,11,43,0,0,0
Tawang,0,0,0,0,0,30,3,16,0,34,2
Tirap,1,1,0,0,0,10,4,9,3,3,0
Upper Siang,0,0,0,0,0,17,5,84,0,5,0
Upper Subansiri,1,1,0,1,0,87,38,93,6,1,0
West Kameng,0,0,0,2,0,74,19,74,24,32,0
West Siang,18,11,7,0,0,50,24,134,29,3,0
