District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,0,0
Changlang,0,0,0,3,32,35
Dibang Valley,0,0,0,0,52,52
East Kameng,0,0,0,1,78,79
East Siang,0,0,2,36,119,157
Kamle,0,0,0,0,4,4
Kra Daadi,0,0,1,9,55,65
Kurung Kumey,0,0,0,17,40,57
Lepa Rada,0,0,0,4,5,9
Lohit,0,0,0,12,21,33
Longding,0,0,0,0,20,20
Lower Dibang Valley,0,0,0,13,38,51
Lower Siang,0,0,0,0,3,3
Lower Subansiri,0,0,0,40,218,258
Namsai,0,0,0,51,50,101
Pakke Kessang,0,0,0,0,8,8
Papum Pare,3,1,5,463,938,1410
Shi Yomi,0,0,0,14,14,28
Siang,0,0,0,1,0,1
Tawang,0,0,0,55,13,68
Tirap,0,0,0,7,24,31
Upper Siang,0,0,0,4,5,9
Upper Subansiri,0,0,0,9,118,127
West Kameng,1,0,0,22,33,56
West Siang,0,0,1,21,68,90
