district,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,2,0,0,0,0,6,30,38
Changlang,1,0,0,0,2,42,444,489
Dibang Valley,5,0,0,0,0,36,314,355
East Kameng,0,0,0,0,20,13,224,257
East Siang,18,0,0,1,25,326,1298,1668
Kamle,4,0,0,0,0,2,19,25
Kra Daadi,7,0,0,0,8,283,1631,1929
Kurung Kumey,2,0,0,0,0,6,78,86
Lepa Rada,0,0,0,0,6,40,133,179
Lohit,3,0,0,0,1,86,361,451
Longding,15,0,0,0,0,15,329,359
Lower Dibang Valley,1,0,0,0,1,97,446,545
Lower Siang,0,0,0,0,7,27,168,202
Lower Subansiri,6,0,0,0,10,118,414,548
Namsai,15,0,0,0,3,57,250,325
Pakke Kessang,0,0,0,0,0,5,30,35
Papum Pare,16,8,0,2,309,943,3867,5145
Shi Yomi,0,0,0,0,0,5,17,22
Siang,3,0,0,0,0,28,49,80
Tawang,13,0,0,0,6,127,371,517
Tirap,0,0,0,0,1,26,292,319
Upper Siang,9,0,0,0,0,24,113,146
Upper Subansiri,5,0,0,0,18,104,449,576
West Kameng,3,0,0,0,9,123,745,880
West Siang,0,1,0,1,46,89,626,763
