District,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total Outstanding,No. of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH KCC Total Outstanding,AH No. of rupay card Issued,AH Card activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery KCC Outstanding,Fishery No. of rupay card Issued,Fishery Card activated
Anjaw,122,95.73,191,15,15,0,0,0,0,0,0,0,0,0,0
Changlang,177,121.5,649,143,112,44,37.3,44,10,10,8,0,9,0,0
Dibang Valley,42,76.53,102,39,35,0,0,0,0,0,0,0,0,0,0
East Kameng,11,16.85,39,23,23,0,0,0,0,0,0,0,0,0,0
East Siang,144,117.76,828,628,624,10,19.66,18,1,1,4,0,11,0,0
Kamle,45,16.84,75,6,6,0,0,0,0,0,0,0,0,0,0
Kra Daadi,142,80.49,195,30,9,0,0,0,0,0,0,0,0,0,0
Kurung Kumey,39,14.59,98,55,55,0,0,0,0,0,0,0,0,0,0
Lepa Rada,88,15.18,305,57,57,0,0,0,0,0,0,0,0,0,0
Lohit,634,772.63,1662,454,434,19,20.77,25,0,0,12,0,18,0,0
Longding,224,220.61,364,55,53,1,1.5,1,0,0,1,0,1,0,0
Lower Dibang Valley,178,247.75,577,227,207,0,0,0,0,0,0,0,1,0,0
Lower Siang,73,53.33,255,101,101,3,5.7,5,0,0,0,0,0,0,0
Lower Subansiri,89,123.81,855,597,539,0,0,0,0,0,1,0,3,1,1
Namsai,499,795.99,1183,484,304,0,0,0,0,0,0,0,0,0,0
Pakke Kessang,24,35.89,166,7,6,0,0,0,0,0,0,0,0,0,0
Papum Pare,86,40.02,4845,3407,3281,36,35.94,46,1,1,6,0.5,8,0,0
Shi Yomi,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Siang,20,14.05,69,22,22,0,0,0,0,0,0,0,0,0,0
Tawang,27,17.22,79,49,49,0,0,0,0,0,0,0,0,0,0
Tirap,256,183.23,493,93,91,2,4,2,0,0,2,0,2,0,0
Upper Siang,51,19.66,144,18,18,0,0,0,0,0,0,0,0,0,0
Upper Subansiri,162,79.63,623,215,214,0,0,3,2,2,0,0,0,0,0
West Kameng,132,94.99,417,202,195,30,66.6,44,0,0,7,0,9,0,0
West Siang,43,28.12,588,121,112,0,0,1,0,0,5,0,6,0,0
