district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,14,1,8,0,0,0,23
Changlang,769,38,387,7,0,0,1201
Dibang Valley,69,9,25,6,0,0,109
East Kameng,1145,72,74,1,0,0,1292
East Siang,1260,293,287,7,0,1,1848
Kamle,4,3,0,0,0,0,7
Kra Daadi,277,8,11,7,1,1,305
Kurung Kumey,844,13,21,0,0,0,878
Lepa Rada,358,37,73,0,0,0,468
Lohit,697,47,157,4,0,0,905
Longding,1606,11,13,2,0,0,1632
Lower Dibang Valley,430,29,86,0,0,0,545
Lower Siang,287,15,7,1,0,0,310
Lower Subansiri,2202,201,99,1,0,0,2503
Namsai,1911,52,1758,3,0,0,3724
Pakke Kessang,86,8,6,1,0,0,101
Papum Pare,13900,2315,1810,68,1,6,18100
Shi Yomi,110,0,146,0,0,0,256
Siang,12,1,4,0,0,0,17
Tawang,67,19,1988,16,0,0,2090
Tirap,1403,16,462,1,0,0,1882
Upper Siang,277,10,152,0,0,0,439
Upper Subansiri,530,48,89,2,0,1,670
West Kameng,358,68,3686,21,1,1,4135
West Siang,562,58,521,5,0,0,1146
