district,bc,rural_atm,rural_br,semi_urban_atm,semi_urban_br,total_atm,total_br,urban_atm,urban_br
Baksa,129,20,32,2,2,22,34,0,0
Barpeta,376,70,50,79,40,153,92,4,2
Biswanath,58,32,27,19,6,53,33,2,0
Bongaigaon,99,33,19,79,32,113,51,1,0
Cachar,306,57,62,21,11,217,128,139,55
Charaideo,48,13,14,8,6,21,20,0,0
Chirang,96,6,16,6,5,12,21,0,0
Darrang,196,44,26,57,24,106,51,5,1
Dhemaji,180,27,17,20,16,48,34,1,1
Dhubri,367,32,27,62,32,94,60,0,1
Goalpara,260,22,29,39,23,66,52,5,0
Golaghat,265,37,47,62,40,103,88,4,1
Hailakandi,174,24,16,31,19,57,36,2,1
Hojai,70,26,15,36,16,63,32,1,1
Jorhat,191,53,44,106,34,194,105,35,27
Kamrup,285,85,86,36,21,156,121,35,14
Kamrup Metro,30,11,15,3,6,212,167,198,146
Karbi Anglong,106,7,37,27,16,35,54,1,1
Karimganj,179,32,40,57,28,94,69,5,1
Kokrajhar,184,10,21,42,18,52,39,0,0
Lakhimpur,227,44,38,51,30,96,69,1,1
Majuli,6,4,6,2,1,6,7,0,0
Nagaon,628,68,59,30,29,184,116,86,28
Nalbari,212,41,45,54,20,96,66,1,1
Sivasagar,178,51,36,81,43,135,82,3,3
Sonitpur,261,61,55,149,49,213,109,3,5
Tinsukia,231,68,53,48,43,196,129,80,33
Udalguri,205,11,23,20,10,32,34,1,1
