district,advance_amount_a,current_c_d_ratio,deposit_amount_d
Baksa,34019.63,46.87,72580.43
Barpeta,187231.98,60.06,311733.74
Biswanath,55602.40,47.96,115941.39
Bongaigaon,102669.17,46.17,222357.44
Cachar,254727.09,38.08,668845.36
Charaideo,25498.94,38.72,65853.09
Chirang,34724.60,35.73,97192.44
Darrang,93256.97,59.33,157183.71
Dhemaji,54092.23,57.46,94132.58
Dhubri,109076.84,51.92,210068.90
Goalpara,65837.76,42.61,154513.72
Golaghat,170948.76,66.51,257008.12
Hailakandi,45036.74,36.17,124498.42
Hojai,60906.51,36.22,168140.07
Jorhat,272767.23,51.38,530886.99
Kamrup,281004.28,70.11,400805.69
Kamrup Metro,700269.26,47.42,1476633.86
Karbi Anglong,63399.86,46.48,136396.97
Karimganj,88060.72,31.82,276786.83
Kokrajhar,60703.67,29.55,205454.35
Lakhimpur,131887.37,68.58,192310.72
Majuli,10376.61,45.73,22689.69
Nagaon,259061.71,56.64,457352.20
Nalbari,102302.93,49.66,206016.56
Sivasagar,193218.35,49,394317.85
Sonitpur,211555.44,52.75,401041.05
Tinsukia,252868.75,44.31,570666.54
Udalguri,61937.34,64.69,95744.37
