District,NRLM NPA Amt,No. NRLM NPA,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.,Self-Help Group Current Year Amt,Self-Help Group Current Year No.
East Garo Hills,9.54,64,5.88,22,235.93,404,19.38,21
East Jaintia Hills,0.22,1,1.01,1,454.22,497,72.01,59
East Khasi Hills,1.34,10,12.03,11,851.92,1016,235.41,248
Eastern West Khasi Hills,1.06,13,12.85,12,969.97,788,84.53,52
North Garo Hills,20.86,107,0.05,6,169.09,344,26.97,32
Ri Bhoi,5.82,65,59.98,59,1061.35,1193,71.52,48
South Garo Hills,2.17,29,17.92,40,207.51,268,21,21
South West Garo Hills,4.06,23,14.15,23,357.56,414,17.52,15
South West Khasi Hills,0.02,1,0.13,3,487.13,381,35.99,19
West Garo Hills,4.7,110,30.68,48,1048.92,1297,163.6,137
West Jaintia Hills,3.15,30,27.84,26,966.82,1046,74.43,75
West Khasi Hills,0.71,9,4.83,9,678.63,647,108,66
