District,Total Non-Priority NPA Amt,Sec Total NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,313.91,260,154.26,156,159.65,104,0,0,0,0
East Jaintia Hills,329.84,78,54.82,44,36.72,33,238.3,1,0,0
East Khasi Hills,69290.14,1895,68508.45,1418,666.12,468,114.51,7,1.06,2
Eastern West Khasi Hills,20.23,26,18.43,20,1.8,6,0,0,0,0
North Garo Hills,339.03,261,125.43,143,213.5,117,0,0,0.1,1
Ri Bhoi,867.26,388,629.29,318,94.67,64,142.29,4,1.01,2
South Garo Hills,182.69,158,61.63,88,121.06,70,0,0,0,0
South West Garo Hills,197.58,147,128.97,100,68.61,47,0,0,0,0
South West Khasi Hills,74.37,38,42.57,26,31.8,12,0,0,0,0
West Garo Hills,1141.8,594,592.46,284,549.34,310,0,0,0,0
West Jaintia Hills,328.79,213,118.94,87,184.11,125,25.74,1,0,0
West Khasi Hills,122.11,70,62.15,31,59.96,39,0,0,0,0
