District,Total (PS) Amt. NPA Other,Total (PS) No. NPA Other,Other PS Amt,Other PS No.,Social Infra Amt,Social Infra No.,Housing Amt (PS),Housing No. (PS),Education Amt (PS),Education No. (PS)
East Garo Hills,67.4,38,0.73,3,0,6,63.51,27,3.16,2
East Jaintia Hills,352.64,56,219.61,36,3.67,2,114.63,11,14.73,7
East Khasi Hills,2310.35,1531,1689.57,1416,52.15,17,367.82,38,200.81,60
North Garo Hills,256.87,102,0,0,19.31,9,216.25,89,21.31,4
Ri Bhoi,319.29,295,92.76,238,4.37,3,138.6,18,83.56,36
South Garo Hills,95.22,44,0,0,25.69,12,69.53,32,0,0
West Garo Hills,339.23,77,7.35,3,42.24,13,264.26,50,25.38,11
West Jaintia Hills,416.68,121,201.19,67,14.43,17,173.55,26,27.51,11
West Khasi Hills,199.11,51,152.71,30,2.61,1,11.7,5,32.09,15
