District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
East Garo Hills,5,8,1,14,0,8,1,9,40,1,41
East Jaintia Hills,23,4,0,27,15,3,0,18,75,5,80
East Khasi Hills,54,26,106,186,39,16,221,276,132,27,159
Eastern West Khasi Hills,7,4,1,12,6,2,0,8,30,2,32
North Garo Hills,7,3,0,10,7,0,0,7,54,6,60
Ri Bhoi,31,15,1,47,27,14,1,42,82,4,86
South Garo Hills,3,3,1,7,2,0,0,2,33,2,35
South West Garo Hills,10,3,0,13,7,0,0,7,60,3,63
South West Khasi Hills,6,1,0,7,6,0,0,6,17,0,17
West Garo Hills,19,19,5,43,20,18,17,55,317,22,339
West Jaintia Hills,18,21,4,43,11,18,3,32,70,6,76
West Khasi Hills,7,8,1,16,1,7,1,9,74,2,76
