District,Total MUDRA Disbursement Amt,Total MUDRA Disbursement No.,Tarun Amt,Tarun No.,Kishore Amt,Kishore No.,Sishu amt,Sishu No
East Garo Hills,178.59,174,83.89,13,53.73,35,40.97,126
East Jaintia Hills,228.45,78,157.1,28,68.4,42,2.95,8
East Khasi Hills,2552.83,1838,1238,187,1009.32,695,305.51,956
Eastern West Khasi Hills,59.33,23,33.98,6,24.02,13,1.33,4
North Garo Hills,108.92,110,61.43,16,45.99,84,1.5,10
Ri Bhoi,392.19,167,201.8,45,186.94,105,3.45,17
South Garo Hills,115.42,69,77.35,18,36.41,43,1.66,8
South West Garo Hills,114.12,96,46.09,8,66.57,81,1.46,7
South West Khasi Hills,10.13,39,2.1,5,7.56,30,0.47,4
West Garo Hills,872.06,877,464.68,95,194.17,189,213.21,593
West Jaintia Hills,325.21,168,148.76,23,168.78,117,7.67,28
West Khasi Hills,76.38,35,36.33,5,37.08,23,2.97,7
