District,Overall CD Ratio,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advance,Adv Urban,Adv Semi-Urban,Adv Rural,Total Deposit,Dep Urban,Dep Semi-Urban,Deposits Rural
East Garo Hills,63.5,71.26,61.36,65.62,26852.81,3914.61,17386.78,5551.42,42288.85,5493.23,28335.37,8460.25
East Jaintia Hills,15.61,,16.08,15.19,24237.61,391.56,4783.27,19062.78,155264.97,0,29743.2,125521.77
East Khasi Hills,38.04,37.83,44.94,30.82,855293.68,722199.11,57860.85,75233.72,2248278.57,1875419.44,128746.63,244112.5
North Garo Hills,62.8,,64.18,62.17,19603.04,0,6282.74,13320.3,31214.54,0,9789.95,21424.59
Ri Bhoi,91.46,74.23,38.47,115.67,192350.76,3341.6,24452.63,164556.53,210319.37,4501.61,63559.85,142257.91
South Garo Hills,47.46,63.27,53.33,33.97,13695.12,2288.73,7802.43,3603.96,28857.83,3617.24,14630,10610.59
West Garo Hills,50.41,52.02,49.26,52.55,110416.96,9950.07,68746.12,31720.77,219047.83,19128.7,139552.15,60366.98
West Jaintia Hills,25.51,23.16,30.45,19.66,65357.35,18733.32,34318.85,12305.18,256178.44,80878.54,112696.9,62603
West Khasi Hills,34.79,37.38,41.2,19.52,22408.79,3157.58,15821.6,3429.61,64420.61,8446.13,38406.32,17568.16
