District,NPS Amt.% NPA,Total Non-Priorityrityrityrity NPA Amt,Tot NPA Priorityrityrity No. Sec Non,Total NPS O/S Amt,Total NPS O/S No.,Other Amt (NPS),Other No. (NPS),Personal Loan Amt,Personal Loan No.,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,1.98,313.91,260,15843.4,5405,13090.96,4189,2365.59,1196,368.51,13,7.73,3,10.61,4
East Khasi Hills,14.17,69290.14,1895,488832.44,78828,393766.42,58693,52365.88,18679,40801.03,1337,1890.15,110,8.96,9
Ri Bhoi,0.98,867.26,388,88618.05,22276,70371.9,18995,5920.56,2859,12101.6,404,105.99,9,118,9
West Garo Hills,1.82,1141.8,594,62811.02,19983,48382.33,14829,9649.58,4970,4684.1,163,87.08,8,7.93,13
West Khasi Hills,1.25,122.11,70,9767.73,3883,5885.15,2335,3603.68,1534,264.98,11,13.92,3,0,0
