District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
East Garo Hills,357,102204.55,1,648.82,481,17.43,4,2831.45,4885
East Jaintia Hills,530,2.28,17,5738.07,2922,46.4,20,1349.74,2308
East Khasi Hills,1195,26.65,160,90038.15,41767,2016.31,1563,14171.34,24565
Eastern West Khasi Hills,803,1.37,8,6979.52,7023,0,0,3363.61,6817
North Garo Hills,335,0.85,5,846.1,765,37.7,19,3437.29,5812
Ri Bhoi,1326,4.05,30,13894.87,15217,812.07,620,18718.87,31144
South Garo Hills,290,0,0,661.56,573,3.61,6,1417.5,2819
South West Garo Hills,485,0,0,1573.02,1702,45.18,36,4048.21,7019
South West Khasi Hills,428,0,0,2920.78,2671,3.03,6,1613.71,2860
West Garo Hills,1401,0,0,8570.97,5936,135.19,76,5603.37,10715
West Jaintia Hills,1078,6.69,40,14452.63,7590,249.86,25,3274.28,5214
West Khasi Hills,679,0.97,7,7623.32,4975,52.11,4,4095.37,6877
