District,(PS) Amount Msme Target,Msme Target No. (PS),Crop Amount Achievement Pct Loan,Crop Amount Achieved Loan,Crop Loan Achieved No.,Crop Target Amount Loan,Crop Loan Target No.,Amount Achievement Pct Agri(PS),Agri Amount Achieved (PS),Agri Achieved No. (PS),Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,826,493,13.87,98.64,200,711,1185,11.32,164.68,254,1454.5,2328
East Jaintia Hills,4400,2200,9.42,79.16,121,840,1000,10.6,166.68,479,1572,1436
East Khasi Hills,53578,7142,14.63,687.46,965,4698,6615,19.34,1332.71,1683,6890,8860
North Garo Hills,414,572,11.56,68.44,236,592,1100,9.36,109.8,319,1173,2188
Ri Bhoi,17111,10052,18.78,925.32,1344,4928,5519,12.44,1244.18,1520,10004,6647
South Garo Hills,585,289,13.77,84.02,142,610,794,10.96,89.02,144,812,903
West Garo Hills,9502,3810,25.92,552,507,2130,3877,27.18,799.85,890,2943,5422
West Jaintia Hills,6400,3200,6.89,255.28,339,3705,2925,8.88,492.38,841,5543,3532
West Khasi Hills,670,355,17.47,248.92,431,1425,1075,17.54,361.03,573,2058,1287
